                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:11,2013/08/04T17:19:11,          1.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:12,2013/08/04T17:19:12,          1.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:12,2013/08/04T17:19:18,          0.833,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:14,2013/08/04T17:19:33,          0.158,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:15,2013/08/04T17:19:15,          1.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:15,2013/08/04T17:19:24,          0.333,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          3.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:19,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:22,2013/08/04T17:19:29,          0.429,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:22,2013/08/04T17:19:30,          0.500,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          1.000,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:23,2013/08/04T17:19:25,          1.500,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:23,2013/08/04T17:19:29,          0.500,
                              10.5.20.2,                               10.5.4.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          5.000,
