                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:13,2013/08/04T17:19:13,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:14,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:16,2013/08/04T17:19:16,          4.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:18,2013/08/04T17:19:18,          1.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:19,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:19,2013/08/04T17:19:21,          1.500,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:20,2013/08/04T17:19:21,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:21,2013/08/04T17:19:22,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:22,2013/08/04T17:19:31,          0.333,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          1.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:23,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:23,2013/08/04T17:19:31,          0.375,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                              10.5.11.2,2013/08/04T17:19:24,2013/08/04T17:19:25,          3.000,
