                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:12,2013/08/04T17:19:17,          1.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:12,2013/08/04T17:19:18,          0.722,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:12,2013/08/04T17:19:22,          0.300,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:14,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:14,2013/08/04T17:19:16,          1.500,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          4.667,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:17,2013/08/04T17:19:17,          4.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:17,2013/08/04T17:19:32,          0.200,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:18,2013/08/04T17:19:19,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:19,2013/08/04T17:19:20,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:20,2013/08/04T17:19:22,          1.500,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:21,2013/08/04T17:19:21,          1.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:23,2013/08/04T17:19:25,          1.750,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:24,2013/08/04T17:19:24,          1.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:24,2013/08/04T17:19:25,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:25,2013/08/04T17:19:26,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:26,2013/08/04T17:19:28,          2.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:26,2013/08/04T17:19:29,          1.333,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:30,2013/08/04T17:19:32,          1.500,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:31,2013/08/04T17:19:43,          0.250,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:32,2013/08/04T17:19:33,          4.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:32,2013/08/04T17:19:34,          2.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:32,2013/08/04T17:19:39,          0.429,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:32,2013/08/04T17:19:50,          0.167,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:33,2013/08/04T17:19:37,          0.750,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:33,2013/08/04T17:19:44,          0.273,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:35,2013/08/04T17:19:35,          3.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:35,2013/08/04T17:19:40,          1.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:36,2013/08/04T17:19:41,          0.600,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:39,2013/08/04T17:19:43,          0.750,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:40,2013/08/04T17:19:48,          0.375,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:41,2013/08/04T17:19:49,          0.375,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:42,2013/08/04T17:19:42,          4.000,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:42,2013/08/04T17:20:02,          0.150,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:43,2013/08/04T17:19:48,          0.600,
                              10.5.20.2,                              10.5.12.2,2013/08/04T17:19:43,2013/08/04T17:19:55,          0.250,
