                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:12,2013/08/04T17:19:12,          1.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:12,2013/08/04T17:19:18,          0.833,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:12,2013/08/04T17:19:21,          0.444,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:12,2013/08/04T17:19:22,          0.300,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:13,2013/08/04T17:19:13,          8.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:13,2013/08/04T17:19:14,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:13,2013/08/04T17:19:18,          0.800,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:13,2013/08/04T17:19:22,          0.333,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:14,2013/08/04T17:19:15,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:14,2013/08/04T17:19:16,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:15,2013/08/04T17:19:16,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:16,2013/08/04T17:19:17,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:17,2013/08/04T17:19:18,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:18,2013/08/04T17:19:19,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:19,2013/08/04T17:19:21,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:20,2013/08/04T17:19:30,          0.300,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:22,2013/08/04T17:19:23,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:23,2013/08/04T17:19:23,          1.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:23,2013/08/04T17:19:24,          3.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:23,2013/08/04T17:19:25,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:23,2013/08/04T17:19:31,          0.375,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:24,2013/08/04T17:19:24,         10.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:25,2013/08/04T17:19:27,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:25,2013/08/04T17:19:41,          0.250,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:26,2013/08/04T17:19:28,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:27,2013/08/04T17:19:29,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:28,2013/08/04T17:19:28,          4.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:28,2013/08/04T17:19:30,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:28,2013/08/04T17:19:31,          1.000,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:28,2013/08/04T17:19:33,          0.600,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:28,2013/08/04T17:19:44,          0.188,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:29,2013/08/04T17:19:31,          1.500,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:29,2013/08/04T17:19:33,          1.250,
                              10.5.20.2,                              10.5.13.2,2013/08/04T17:19:30,2013/08/04T17:19:42,          0.250,
