                               10.5.6.2,                              10.5.18.2,2013/08/04T20:30:11,2013/08/04T20:30:11,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:30:36,2013/08/04T20:30:36,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:04,2013/08/04T20:31:05,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:05,2013/08/04T20:31:05,         21.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:07,2013/08/04T20:31:08,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:07,2013/08/04T20:31:09,        388.500,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:09,2013/08/04T20:31:09,         16.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:33,2013/08/04T20:31:33,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:34,2013/08/04T20:31:34,          8.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:34,2013/08/04T20:31:37,          1.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:35,2013/08/04T20:31:35,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:36,2013/08/04T20:31:36,         14.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:36,2013/08/04T20:31:41,          2.200,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:37,2013/08/04T20:31:39,          4.500,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:38,2013/08/04T20:31:38,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:39,2013/08/04T20:31:41,          0.500,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:40,2013/08/04T20:31:40,         15.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:43,2013/08/04T20:31:47,          3.750,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         13.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:48,2013/08/04T20:31:58,          0.500,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:49,2013/08/04T20:31:49,         19.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:50,2013/08/04T20:31:51,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:53,2013/08/04T20:31:53,         11.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:53,2013/08/04T20:31:54,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:54,2013/08/04T20:31:54,          9.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:55,2013/08/04T20:31:55,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:31:59,2013/08/04T20:31:59,         10.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:02,2013/08/04T20:32:02,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:02,2013/08/04T20:32:04,         59.500,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:03,2013/08/04T20:32:03,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:03,2013/08/04T20:34:03,          0.100,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:04,2013/08/04T20:32:04,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:06,2013/08/04T20:32:06,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:06,2013/08/04T20:32:16,          0.600,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:08,2013/08/04T20:32:08,          1.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:09,2013/08/04T20:32:09,         13.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:10,2013/08/04T20:32:10,         12.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:11,2013/08/04T20:32:11,          6.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:11,2013/08/04T20:32:16,          3.600,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:12,2013/08/04T20:32:12,         15.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:13,2013/08/04T20:32:13,          2.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:42,2013/08/04T20:32:47,          1.800,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:45,2013/08/04T20:32:48,          7.333,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:32:57,2013/08/04T20:32:58,          7.000,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:33:02,2013/08/04T20:33:04,          2.500,
                               10.5.6.2,                              10.5.18.2,2013/08/04T20:33:08,2013/08/04T20:33:08,         11.000,
