                               10.5.6.2,                              10.5.20.2,2013/08/04T20:30:12,2013/08/04T20:30:12,        183.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:07,2013/08/04T20:31:08,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:33,2013/08/04T20:31:33,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:34,2013/08/04T20:32:39,          3.277,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:36,2013/08/04T20:31:36,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:37,2013/08/04T20:31:37,          7.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:43,2013/08/04T20:31:43,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:44,2013/08/04T20:31:45,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:46,2013/08/04T20:31:46,          7.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         18.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:49,2013/08/04T20:31:49,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:50,2013/08/04T20:31:50,         20.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:51,2013/08/04T20:31:51,          3.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:52,2013/08/04T20:31:52,         21.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:53,2013/08/04T20:31:53,         26.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:53,2013/08/04T20:31:58,          3.800,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:54,2013/08/04T20:31:54,         32.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:55,2013/08/04T20:31:55,         15.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:57,2013/08/04T20:31:57,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:57,2013/08/04T20:32:00,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:31:58,2013/08/04T20:31:58,         16.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:01,2013/08/04T20:32:06,          1.600,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:02,2013/08/04T20:32:02,          5.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:02,2013/08/04T20:32:04,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:02,2013/08/04T20:32:07,          1.200,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:03,2013/08/04T20:32:03,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:03,2013/08/04T20:32:05,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:05,2013/08/04T20:32:05,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:08,2013/08/04T20:32:13,          3.400,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:13,2013/08/04T20:32:13,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:13,2013/08/04T20:32:14,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:13,2013/08/04T20:32:15,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:15,2013/08/04T20:32:15,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:16,2013/08/04T20:32:16,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:34,2013/08/04T20:32:34,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:34,2013/08/04T20:32:35,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:38,2013/08/04T20:32:39,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:39,2013/08/04T20:32:39,          5.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:42,2013/08/04T20:32:42,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:48,2013/08/04T20:32:57,          0.444,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:54,2013/08/04T20:32:54,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:57,2013/08/04T20:32:59,          5.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:32:59,2013/08/04T20:32:59,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:00,2013/08/04T20:33:00,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:05,2013/08/04T20:33:10,         18.800,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:06,2013/08/04T20:33:07,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:13,2013/08/04T20:33:13,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:13,2013/08/04T20:33:14,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:14,2013/08/04T20:33:14,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:14,2013/08/04T20:33:15,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:15,2013/08/04T20:33:15,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:17,2013/08/04T20:33:17,         22.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:18,2013/08/04T20:33:18,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:19,2013/08/04T20:33:24,          3.600,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:20,2013/08/04T20:33:20,         22.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:23,2013/08/04T20:33:23,         29.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:24,2013/08/04T20:33:25,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:24,2013/08/04T20:33:34,          0.600,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:25,2013/08/04T20:33:25,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:26,2013/08/04T20:33:26,         22.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:27,2013/08/04T20:33:27,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:30,2013/08/04T20:33:31,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:31,2013/08/04T20:33:31,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:32,2013/08/04T20:33:32,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:34,2013/08/04T20:33:34,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:36,2013/08/04T20:33:36,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:36,2013/08/04T20:33:38,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:39,2013/08/04T20:33:39,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:42,2013/08/04T20:33:42,          3.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:49,2013/08/04T20:33:49,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:49,2013/08/04T20:33:50,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:50,2013/08/04T20:33:50,         24.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:51,2013/08/04T20:33:52,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:52,2013/08/04T20:33:52,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:55,2013/08/04T20:33:55,         16.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:59,2013/08/04T20:33:59,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:59,2013/08/04T20:34:00,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:33:59,2013/08/04T20:34:12,          0.538,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:00,2013/08/04T20:34:00,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:01,2013/08/04T20:34:01,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:02,2013/08/04T20:34:02,         14.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:08,2013/08/04T20:34:08,          5.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:09,2013/08/04T20:34:09,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:10,2013/08/04T20:34:10,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:10,2013/08/04T20:34:11,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:11,2013/08/04T20:34:11,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:12,2013/08/04T20:34:12,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:16,2013/08/04T20:34:16,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:17,2013/08/04T20:34:17,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:17,2013/08/04T20:34:18,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:18,2013/08/04T20:34:18,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:19,2013/08/04T20:34:19,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:20,2013/08/04T20:34:20,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:21,2013/08/04T20:34:22,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:22,2013/08/04T20:34:22,          5.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:22,2013/08/04T20:34:23,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:24,2013/08/04T20:34:24,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:25,2013/08/04T20:34:25,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:27,2013/08/04T20:34:28,         41.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:30,2013/08/04T20:34:30,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:31,2013/08/04T20:34:31,          6.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:41,2013/08/04T20:34:42,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:34:42,2013/08/04T20:34:42,         13.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:00,2013/08/04T20:35:00,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:02,2013/08/04T20:35:02,         41.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:02,2013/08/04T20:35:03,         14.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:03,2013/08/04T20:35:03,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:18,2013/08/04T20:35:18,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:18,2013/08/04T20:35:20,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:19,2013/08/04T20:36:02,          0.047,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:20,2013/08/04T20:35:20,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:21,2013/08/04T20:35:22,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:22,2013/08/04T20:35:22,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:32,2013/08/04T20:35:32,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:33,2013/08/04T20:35:34,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:34,2013/08/04T20:35:34,         24.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:34,2013/08/04T20:35:35,         18.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:35,2013/08/04T20:35:35,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:35,2013/08/04T20:35:45,          0.400,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:36,2013/08/04T20:35:36,         15.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:41,2013/08/04T20:35:41,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:44,2013/08/04T20:35:44,          2.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:46,2013/08/04T20:35:46,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:47,2013/08/04T20:35:47,         20.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:47,2013/08/04T20:35:48,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:48,2013/08/04T20:35:48,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:51,2013/08/04T20:35:51,         22.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:51,2013/08/04T20:35:52,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:52,2013/08/04T20:35:52,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:35:53,2013/08/04T20:35:53,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:01,2013/08/04T20:36:01,         12.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:02,2013/08/04T20:36:02,         13.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:02,2013/08/04T20:36:03,          6.500,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:03,2013/08/04T20:36:03,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:05,2013/08/04T20:36:05,          7.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:06,2013/08/04T20:36:06,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:09,2013/08/04T20:36:09,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:10,2013/08/04T20:36:10,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:11,2013/08/04T20:36:11,         15.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:16,2013/08/04T20:36:16,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:16,2013/08/04T20:36:25,          0.333,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:17,2013/08/04T20:36:17,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:17,2013/08/04T20:36:18,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:18,2013/08/04T20:36:18,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:21,2013/08/04T20:36:22,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:22,2013/08/04T20:36:22,         12.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:23,2013/08/04T20:36:28,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:24,2013/08/04T20:36:24,         14.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:24,2013/08/04T20:36:25,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:24,2013/08/04T20:36:35,          0.545,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:25,2013/08/04T20:36:25,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:25,2013/08/04T20:36:30,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:25,2013/08/04T20:36:35,          0.600,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:27,2013/08/04T20:36:28,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:28,2013/08/04T20:36:28,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:30,2013/08/04T20:36:30,         36.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:32,2013/08/04T20:36:33,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:33,2013/08/04T20:36:33,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:34,2013/08/04T20:36:34,         13.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:35,2013/08/04T20:36:35,         22.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:35,2013/08/04T20:36:41,          1.333,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:38,2013/08/04T20:36:39,          9.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:39,2013/08/04T20:36:39,         11.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:39,2013/08/04T20:36:40,         18.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:40,2013/08/04T20:36:40,         10.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:40,2013/08/04T20:36:50,          0.600,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:41,2013/08/04T20:36:41,          4.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:42,2013/08/04T20:36:42,          5.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:46,2013/08/04T20:36:46,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:48,2013/08/04T20:36:48,         22.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:49,2013/08/04T20:36:50,          8.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:50,2013/08/04T20:36:50,          1.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:36:51,2013/08/04T20:36:51,         15.000,
                               10.5.6.2,                              10.5.20.2,2013/08/04T20:37:05,2013/08/04T20:37:11,          2.167,
