                               10.5.6.2,                               10.5.7.2,2013/08/04T20:30:11,2013/08/04T20:30:11,         17.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:30:17,2013/08/04T20:30:18,          6.500,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:30:18,2013/08/04T20:30:18,          1.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          6.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:06,2013/08/04T20:31:06,         11.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:06,2013/08/04T20:31:07,          9.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:06,2013/08/04T20:31:09,          1.667,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          2.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:08,2013/08/04T20:31:09,          8.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:08,2013/08/04T20:31:35,          0.185,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:33,2013/08/04T20:31:33,         11.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:33,2013/08/04T20:31:35,         15.500,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:34,2013/08/04T20:31:34,         18.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:36,2013/08/04T20:31:36,          2.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          7.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:39,2013/08/04T20:31:44,          2.800,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:45,2013/08/04T20:31:45,          7.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:46,2013/08/04T20:31:46,         13.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:46,2013/08/04T20:31:47,          7.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          2.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         13.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:49,2013/08/04T20:31:49,         14.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:50,2013/08/04T20:31:50,          9.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:31:59,2013/08/04T20:31:59,         19.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:00,2013/08/04T20:32:05,          3.400,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:02,2013/08/04T20:32:02,          3.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:03,2013/08/04T20:32:03,          3.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:05,2013/08/04T20:32:05,         16.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:06,2013/08/04T20:32:06,          9.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:06,2013/08/04T20:32:08,          4.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:08,2013/08/04T20:32:08,          6.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:09,2013/08/04T20:32:10,          6.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:10,2013/08/04T20:32:10,         23.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:11,2013/08/04T20:32:11,         11.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:11,2013/08/04T20:32:16,          2.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:12,2013/08/04T20:32:12,         11.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:12,2013/08/04T20:32:13,          8.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:12,2013/08/04T20:32:17,          3.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:13,2013/08/04T20:32:13,          1.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:14,2013/08/04T20:32:14,         11.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:14,2013/08/04T20:32:15,         10.000,
                               10.5.6.2,                               10.5.7.2,2013/08/04T20:32:15,2013/08/04T20:32:15,          1.000,
