                               10.5.6.2,                              10.5.14.2,2013/08/04T20:30:11,2013/08/04T20:30:11,         14.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:30:11,2013/08/04T20:30:12,         10.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:30:12,2013/08/04T20:30:12,         20.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:30:17,2013/08/04T20:30:18,          9.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:30:18,2013/08/04T20:30:18,          3.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:31:04,          5.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          3.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:05,2013/08/04T20:31:06,         10.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          2.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          4.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:08,2013/08/04T20:31:08,         22.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:09,2013/08/04T20:31:09,          2.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:33,2013/08/04T20:31:33,         10.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:34,2013/08/04T20:31:35,          9.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:35,2013/08/04T20:31:35,         22.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:35,2013/08/04T20:31:40,          3.800,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:36,2013/08/04T20:31:36,         11.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:36,2013/08/04T20:31:46,          0.600,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:37,2013/08/04T20:31:37,          7.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:40,2013/08/04T20:31:40,         11.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:40,2013/08/04T20:31:41,          9.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:43,2013/08/04T20:31:43,          4.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:45,2013/08/04T20:31:45,          5.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:47,2013/08/04T20:31:52,          1.400,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         21.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:49,2013/08/04T20:31:49,         10.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:50,2013/08/04T20:31:50,          9.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:51,2013/08/04T20:31:51,          8.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:52,2013/08/04T20:31:52,         11.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:31:59,2013/08/04T20:32:16,         26.176,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:01,2013/08/04T20:32:01,         14.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:02,2013/08/04T20:32:04,        102.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:03,2013/08/04T20:32:03,          4.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:03,2013/08/04T20:32:13,          0.600,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:05,2013/08/04T20:32:05,          1.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:06,2013/08/04T20:32:06,         12.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:07,2013/08/04T20:32:07,          5.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:07,2013/08/04T20:32:12,          2.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:09,2013/08/04T20:32:09,          9.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:10,2013/08/04T20:32:10,          1.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:13,2013/08/04T20:32:13,          1.000,
                               10.5.6.2,                              10.5.14.2,2013/08/04T20:32:14,2013/08/04T20:32:14,          9.000,
