                               10.5.6.2,                              10.5.10.2,2013/08/04T20:30:12,2013/08/04T20:30:12,         11.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:30:17,2013/08/04T20:30:17,          8.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:04,2013/08/04T20:31:04,          2.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:05,2013/08/04T20:31:08,          1.667,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          7.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:34,2013/08/04T20:31:34,          2.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:35,2013/08/04T20:31:35,         33.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:36,2013/08/04T20:31:36,         11.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:37,2013/08/04T20:31:37,          2.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:44,2013/08/04T20:31:44,          9.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          4.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:47,2013/08/04T20:31:58,          0.545,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         11.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:49,2013/08/04T20:31:49,         11.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:52,2013/08/04T20:31:52,          5.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:53,2013/08/04T20:31:53,         22.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:53,2013/08/04T20:32:04,          0.182,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:54,2013/08/04T20:31:54,          9.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:54,2013/08/04T20:31:55,          8.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:57,2013/08/04T20:31:58,          4.500,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:31:58,2013/08/04T20:31:58,         12.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:32:00,2013/08/04T20:32:00,          2.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:32:01,2013/08/04T20:32:01,          6.000,
                               10.5.6.2,                              10.5.10.2,2013/08/04T20:32:01,2013/08/04T20:32:11,          0.300,
