                               10.5.6.2,                               10.5.9.2,2013/08/04T20:30:11,2013/08/04T20:30:11,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:30:12,2013/08/04T20:30:12,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:30:17,2013/08/04T20:30:17,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:30:18,2013/08/04T20:30:18,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:30:36,2013/08/04T20:30:36,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:31:04,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:06,2013/08/04T20:31:07,         18.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:33,2013/08/04T20:31:33,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:34,2013/08/04T20:31:34,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:34,2013/08/04T20:31:36,        392.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:35,2013/08/04T20:31:35,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:36,2013/08/04T20:31:36,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:38,2013/08/04T20:31:38,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:38,2013/08/04T20:31:39,          6.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:43,2013/08/04T20:31:43,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:44,2013/08/04T20:31:44,         18.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:45,2013/08/04T20:31:45,         14.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:46,2013/08/04T20:31:46,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:47,2013/08/04T20:31:47,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:49,2013/08/04T20:31:49,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:50,2013/08/04T20:31:50,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:50,2013/08/04T20:31:51,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:51,2013/08/04T20:31:51,          6.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:52,2013/08/04T20:31:52,         15.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:53,2013/08/04T20:31:54,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:31:57,2013/08/04T20:31:57,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:00,2013/08/04T20:32:00,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:00,2013/08/04T20:32:01,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:02,2013/08/04T20:32:02,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:05,2013/08/04T20:32:05,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:07,2013/08/04T20:32:07,         15.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:10,2013/08/04T20:32:10,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:11,2013/08/04T20:32:11,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:11,2013/08/04T20:32:12,          7.500,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:12,2013/08/04T20:32:12,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:14,2013/08/04T20:32:14,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:14,2013/08/04T20:32:15,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:16,2013/08/04T20:32:16,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:34,2013/08/04T20:32:34,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:42,2013/08/04T20:32:47,         72.800,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:44,2013/08/04T20:32:44,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:45,2013/08/04T20:32:45,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:47,2013/08/04T20:32:47,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:54,2013/08/04T20:33:04,          0.400,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:58,2013/08/04T20:33:01,          2.667,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:32:59,2013/08/04T20:32:59,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:01,2013/08/04T20:33:01,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:03,2013/08/04T20:33:03,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:04,2013/08/04T20:33:04,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:05,2013/08/04T20:33:05,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:06,2013/08/04T20:33:07,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:07,2013/08/04T20:33:07,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:08,2013/08/04T20:33:08,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:10,2013/08/04T20:33:10,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:10,2013/08/04T20:33:11,         13.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:10,2013/08/04T20:33:17,         55.857,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:12,2013/08/04T20:33:14,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:14,2013/08/04T20:33:14,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:14,2013/08/04T20:33:46,          0.625,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:17,2013/08/04T20:33:17,         24.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:17,2013/08/04T20:33:18,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:17,2013/08/04T20:33:24,        104.143,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:18,2013/08/04T20:33:18,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:20,2013/08/04T20:33:31,          0.545,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:24,2013/08/04T20:33:24,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:25,2013/08/04T20:33:25,         29.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:32,2013/08/04T20:33:32,         36.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:32,2013/08/04T20:33:33,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:32,2013/08/04T20:33:35,         75.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:33,2013/08/04T20:33:33,         19.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:34,2013/08/04T20:33:34,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:36,2013/08/04T20:33:47,          0.636,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:38,2013/08/04T20:33:40,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:40,2013/08/04T20:33:40,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:41,2013/08/04T20:33:41,          6.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:42,2013/08/04T20:33:53,          0.182,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:46,2013/08/04T20:33:46,         25.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:46,2013/08/04T20:33:47,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:47,2013/08/04T20:33:47,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:47,2013/08/04T20:33:49,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:48,2013/08/04T20:33:48,         32.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:48,2013/08/04T20:33:52,          1.250,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:49,2013/08/04T20:33:49,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:51,2013/08/04T20:33:51,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:51,2013/08/04T20:33:56,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:53,2013/08/04T20:33:53,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:53,2013/08/04T20:33:54,         18.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:54,2013/08/04T20:33:55,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:55,2013/08/04T20:33:55,         21.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:33:59,2013/08/04T20:33:59,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:02,2013/08/04T20:34:02,         14.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:02,2013/08/04T20:34:03,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:02,2013/08/04T20:34:08,          0.667,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:03,2013/08/04T20:34:03,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:08,2013/08/04T20:34:10,          4.500,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:10,2013/08/04T20:34:10,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:11,2013/08/04T20:34:11,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:11,2013/08/04T20:34:12,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:11,2013/08/04T20:34:16,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:12,2013/08/04T20:34:12,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:13,2013/08/04T20:34:13,          6.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:15,2013/08/04T20:34:15,          7.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:18,2013/08/04T20:34:19,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:23,2013/08/04T20:34:23,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:27,2013/08/04T20:34:27,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:29,2013/08/04T20:34:29,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:30,2013/08/04T20:34:30,          3.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:31,2013/08/04T20:34:31,         17.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:41,2013/08/04T20:35:04,        168.522,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:42,2013/08/04T20:34:42,         34.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:34:59,2013/08/04T20:34:59,         17.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:02,2013/08/04T20:35:02,         14.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:03,2013/08/04T20:35:03,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:04,2013/08/04T20:36:25,        449.420,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:16,2013/08/04T20:35:16,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:16,2013/08/04T20:35:17,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:17,2013/08/04T20:35:17,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:18,2013/08/04T20:35:18,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:19,2013/08/04T20:35:19,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:19,2013/08/04T20:35:20,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:20,2013/08/04T20:35:20,         23.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:21,2013/08/04T20:35:21,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:22,2013/08/04T20:35:22,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:32,2013/08/04T20:35:32,         22.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:32,2013/08/04T20:36:02,          0.167,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:33,2013/08/04T20:35:34,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:34,2013/08/04T20:35:34,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:34,2013/08/04T20:35:35,          8.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:35,2013/08/04T20:35:35,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:35,2013/08/04T20:35:36,          9.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:36,2013/08/04T20:35:36,         12.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:41,2013/08/04T20:35:41,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:44,2013/08/04T20:35:44,          2.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:44,2013/08/04T20:35:45,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:44,2013/08/04T20:35:51,          1.286,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:45,2013/08/04T20:35:45,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:45,2013/08/04T20:35:46,         10.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:46,2013/08/04T20:35:46,          5.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:48,2013/08/04T20:35:48,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:49,2013/08/04T20:35:49,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:50,2013/08/04T20:36:02,          0.667,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:52,2013/08/04T20:35:52,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:55,2013/08/04T20:35:55,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:35:59,2013/08/04T20:35:59,          1.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:00,2013/08/04T20:36:00,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:02,2013/08/04T20:36:02,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:05,2013/08/04T20:36:10,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:06,2013/08/04T20:36:06,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:08,2013/08/04T20:36:08,         11.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:09,2013/08/04T20:36:09,          4.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:10,2013/08/04T20:36:10,          6.000,
                               10.5.6.2,                               10.5.9.2,2013/08/04T20:36:12,2013/08/04T20:36:12,          9.000,
