                               10.5.6.2,                               10.5.4.2,2013/08/04T20:30:11,2013/08/04T20:30:12,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:30:11,2013/08/04T20:31:09,          1.603,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:30:12,2013/08/04T20:30:12,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:30:17,2013/08/04T20:30:18,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:30:18,2013/08/04T20:30:18,          1.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:30:36,2013/08/04T20:30:36,          4.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:05,2013/08/04T20:31:06,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:06,2013/08/04T20:31:06,         11.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:06,2013/08/04T20:31:07,          9.500,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          2.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:35,2013/08/04T20:31:35,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:36,2013/08/04T20:31:36,         11.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:40,2013/08/04T20:31:45,          1.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:43,2013/08/04T20:31:43,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:44,2013/08/04T20:31:44,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:44,2013/08/04T20:31:45,          7.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:45,2013/08/04T20:31:45,          8.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:46,2013/08/04T20:31:46,         30.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         14.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:49,2013/08/04T20:31:50,          6.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:50,2013/08/04T20:31:50,          1.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:54,2013/08/04T20:31:54,          6.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:55,2013/08/04T20:31:56,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:56,2013/08/04T20:31:56,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:57,2013/08/04T20:31:57,         12.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:58,2013/08/04T20:31:58,          7.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:31:59,2013/08/04T20:31:59,          1.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:05,2013/08/04T20:32:05,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:06,2013/08/04T20:32:06,          7.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:07,2013/08/04T20:32:12,        300.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:08,2013/08/04T20:32:08,          7.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:09,2013/08/04T20:32:11,          4.500,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:10,2013/08/04T20:32:10,         12.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:11,2013/08/04T20:32:11,         13.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:12,2013/08/04T20:32:12,          5.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:12,2013/08/04T20:32:13,          8.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:13,2013/08/04T20:32:13,          7.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:15,2013/08/04T20:32:15,         11.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:44,2013/08/04T20:32:44,          7.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:52,2013/08/04T20:32:54,          5.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:54,2013/08/04T20:32:54,          1.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:58,2013/08/04T20:32:58,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:59,2013/08/04T20:33:01,          4.500,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:32:59,2013/08/04T20:33:09,          0.600,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:03,2013/08/04T20:33:10,         96.286,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:04,2013/08/04T20:33:04,         11.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:04,2013/08/04T20:33:05,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:04,2013/08/04T20:33:07,          4.667,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:06,2013/08/04T20:33:06,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:08,2013/08/04T20:33:09,         10.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:09,2013/08/04T20:33:09,          1.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:09,2013/08/04T20:33:19,          0.600,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:10,2013/08/04T20:33:10,          9.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:12,2013/08/04T20:33:12,         11.000,
                               10.5.6.2,                               10.5.4.2,2013/08/04T20:33:13,2013/08/04T20:33:18,          4.000,
