                               10.5.6.2,                              10.5.11.2,2013/08/04T20:30:11,2013/08/04T20:30:11,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:30:11,2013/08/04T20:30:12,         17.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:30:12,2013/08/04T20:30:12,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:30:44,2013/08/04T20:30:44,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:06,2013/08/04T20:31:06,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:07,2013/08/04T20:31:07,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:33,2013/08/04T20:31:33,          8.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:33,2013/08/04T20:31:43,          0.600,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:34,2013/08/04T20:31:34,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:35,2013/08/04T20:31:35,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:36,2013/08/04T20:31:36,         14.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:38,2013/08/04T20:31:38,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:39,2013/08/04T20:31:40,          6.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:40,2013/08/04T20:31:40,         11.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:41,2013/08/04T20:31:41,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:44,2013/08/04T20:31:44,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:45,2013/08/04T20:31:45,          2.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:46,2013/08/04T20:31:46,          6.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:47,2013/08/04T20:31:47,         20.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:48,2013/08/04T20:31:48,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:49,2013/08/04T20:31:49,          9.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:50,2013/08/04T20:31:50,          2.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:54,2013/08/04T20:31:54,          6.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:56,2013/08/04T20:31:57,         10.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:57,2013/08/04T20:31:57,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:57,2013/08/04T20:31:58,          5.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:31:58,2013/08/04T20:31:58,          1.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:32:00,2013/08/04T20:32:00,          7.000,
                               10.5.6.2,                              10.5.11.2,2013/08/04T20:32:03,2013/08/04T20:32:08,          3.600,
