                               10.5.6.2,                               10.5.8.2,2013/08/04T20:30:11,2013/08/04T20:30:11,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:30:11,2013/08/04T20:31:41,        103.633,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:06,2013/08/04T20:31:06,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:07,2013/08/04T20:31:07,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:07,2013/08/04T20:31:08,          6.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:09,2013/08/04T20:31:09,          5.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:35,2013/08/04T20:31:35,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:36,2013/08/04T20:31:36,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:37,2013/08/04T20:31:38,          2.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:39,2013/08/04T20:31:39,         20.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:39,2013/08/04T20:31:44,          2.400,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:40,2013/08/04T20:31:40,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:44,2013/08/04T20:31:44,         24.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:48,2013/08/04T20:31:48,          2.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:48,2013/08/04T20:31:49,          6.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:49,2013/08/04T20:31:49,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:50,2013/08/04T20:31:50,          7.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:51,2013/08/04T20:31:51,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:55,2013/08/04T20:31:56,         17.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:56,2013/08/04T20:31:56,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:58,2013/08/04T20:31:58,         13.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:58,2013/08/04T20:31:59,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:31:59,2013/08/04T20:32:00,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:01,2013/08/04T20:32:01,          3.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:02,2013/08/04T20:32:02,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:03,2013/08/04T20:32:03,          7.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:04,2013/08/04T20:32:04,          7.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:04,2013/08/04T20:32:05,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:05,2013/08/04T20:32:05,          5.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:10,2013/08/04T20:32:10,         17.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:10,2013/08/04T20:33:42,          4.652,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:11,2013/08/04T20:32:12,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:13,2013/08/04T20:32:14,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:14,2013/08/04T20:32:14,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:14,2013/08/04T20:32:15,          5.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:43,2013/08/04T20:32:43,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:45,2013/08/04T20:32:45,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:47,2013/08/04T20:32:53,          0.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:32:54,2013/08/04T20:32:54,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:01,2013/08/04T20:33:01,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:04,2013/08/04T20:33:05,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:05,2013/08/04T20:33:05,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:09,2013/08/04T20:33:10,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:09,2013/08/04T20:33:14,          1.400,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:13,2013/08/04T20:33:13,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:14,2013/08/04T20:33:14,         15.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:15,2013/08/04T20:33:16,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:16,2013/08/04T20:33:26,          0.700,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:17,2013/08/04T20:33:18,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:18,2013/08/04T20:33:18,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:20,2013/08/04T20:33:20,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:21,2013/08/04T20:33:22,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:22,2013/08/04T20:33:22,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:22,2013/08/04T20:33:32,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:23,2013/08/04T20:33:24,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:24,2013/08/04T20:33:24,         23.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:25,2013/08/04T20:33:25,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:25,2013/08/04T20:33:26,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:26,2013/08/04T20:33:26,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:27,2013/08/04T20:33:27,         16.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:31,2013/08/04T20:33:31,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:32,2013/08/04T20:33:32,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:33,2013/08/04T20:33:33,         19.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:35,2013/08/04T20:33:36,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:36,2013/08/04T20:33:36,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:37,2013/08/04T20:33:37,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:39,2013/08/04T20:33:39,         23.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:40,2013/08/04T20:33:40,         17.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:40,2013/08/04T20:33:41,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:41,2013/08/04T20:33:41,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:42,2013/08/04T20:33:42,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:47,2013/08/04T20:33:48,          9.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:47,2013/08/04T20:34:00,          0.385,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:48,2013/08/04T20:33:48,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:51,2013/08/04T20:33:53,          4.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:54,2013/08/04T20:33:54,         20.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:55,2013/08/04T20:33:55,         37.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:33:56,2013/08/04T20:33:56,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:01,2013/08/04T20:34:01,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:03,2013/08/04T20:34:04,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:08,2013/08/04T20:34:09,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:09,2013/08/04T20:34:09,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:10,2013/08/04T20:34:11,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:11,2013/08/04T20:34:11,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:13,2013/08/04T20:34:13,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:16,2013/08/04T20:34:18,          3.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:17,2013/08/04T20:34:17,          3.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:18,2013/08/04T20:34:18,          2.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:18,2013/08/04T20:34:19,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:20,2013/08/04T20:34:20,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:21,2013/08/04T20:34:21,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:25,2013/08/04T20:34:25,         20.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:26,2013/08/04T20:34:26,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:30,2013/08/04T20:34:30,         16.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:30,2013/08/04T20:34:31,          5.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:30,2013/08/04T20:34:32,          2.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:32,2013/08/04T20:34:32,          3.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:41,2013/08/04T20:34:42,        109.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:42,2013/08/04T20:34:42,          6.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:58,2013/08/04T20:34:59,          2.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:34:59,2013/08/04T20:35:00,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:00,2013/08/04T20:35:00,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:00,2013/08/04T20:35:01,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:01,2013/08/04T20:35:01,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:01,2013/08/04T20:35:03,        133.333,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:02,2013/08/04T20:35:02,          2.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:02,2013/08/04T20:35:03,          7.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:03,2013/08/04T20:35:03,          2.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:16,2013/08/04T20:35:16,         21.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:16,2013/08/04T20:35:20,          0.750,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:16,2013/08/04T20:35:34,          0.222,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:19,2013/08/04T20:35:19,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:20,2013/08/04T20:35:21,         18.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:22,2013/08/04T20:35:22,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:31,2013/08/04T20:35:33,        311.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:32,2013/08/04T20:35:32,         23.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:32,2013/08/04T20:35:34,         27.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:33,2013/08/04T20:35:33,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:34,2013/08/04T20:35:34,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:34,2013/08/04T20:35:44,          0.700,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:35,2013/08/04T20:35:35,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:41,2013/08/04T20:35:41,         21.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:43,2013/08/04T20:35:43,          3.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:43,2013/08/04T20:35:44,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:43,2013/08/04T20:35:50,         83.286,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:44,2013/08/04T20:35:44,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:44,2013/08/04T20:35:52,          0.750,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:45,2013/08/04T20:35:45,         31.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:45,2013/08/04T20:35:55,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:48,2013/08/04T20:35:49,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:49,2013/08/04T20:35:49,         24.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:49,2013/08/04T20:35:55,          3.167,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:50,2013/08/04T20:35:52,        390.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:51,2013/08/04T20:35:53,          4.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:53,2013/08/04T20:35:53,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:53,2013/08/04T20:36:03,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:54,2013/08/04T20:35:55,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:55,2013/08/04T20:35:55,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:35:56,2013/08/04T20:35:56,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:02,2013/08/04T20:36:02,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:03,2013/08/04T20:36:04,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:04,2013/08/04T20:36:04,         12.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:06,2013/08/04T20:36:07,          8.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:07,2013/08/04T20:36:07,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:08,2013/08/04T20:36:08,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:08,2013/08/04T20:36:18,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:09,2013/08/04T20:36:09,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:10,2013/08/04T20:36:10,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:10,2013/08/04T20:36:11,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:11,2013/08/04T20:36:11,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:11,2013/08/04T20:36:13,          5.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:13,2013/08/04T20:36:13,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:15,2013/08/04T20:36:21,          1.500,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:16,2013/08/04T20:36:26,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:18,2013/08/04T20:36:18,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:20,2013/08/04T20:36:20,          9.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:20,2013/08/04T20:36:26,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:20,2013/08/04T20:36:30,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:21,2013/08/04T20:36:21,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:22,2013/08/04T20:36:22,         24.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:24,2013/08/04T20:36:29,          4.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:26,2013/08/04T20:36:33,          1.571,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:27,2013/08/04T20:36:28,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:28,2013/08/04T20:36:28,          1.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:29,2013/08/04T20:36:29,         17.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:32,2013/08/04T20:36:32,         43.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:32,2013/08/04T20:36:33,          9.750,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:33,2013/08/04T20:36:33,          3.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:33,2013/08/04T20:36:43,          0.600,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:34,2013/08/04T20:36:34,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:35,2013/08/04T20:36:35,         31.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:35,2013/08/04T20:36:40,          1.200,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:38,2013/08/04T20:36:38,         10.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:38,2013/08/04T20:36:42,          2.750,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:39,2013/08/04T20:36:39,         11.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:39,2013/08/04T20:36:40,         18.000,
                               10.5.6.2,                               10.5.8.2,2013/08/04T20:36:40,2013/08/04T20:36:40,         24.000,
