                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          2.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:12,2013/08/04T17:34:37,          0.200,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          4.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:14,2013/08/04T17:34:26,          0.167,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:14,2013/08/04T17:34:41,          0.148,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          8.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          2.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:18,2013/08/04T17:34:50,          0.094,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:18,2013/08/04T17:34:58,          0.125,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:18,2013/08/04T17:35:07,          0.102,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:19,2013/08/04T17:34:19,          8.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         20.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:19,2013/08/04T17:34:38,          0.105,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:20,2013/08/04T17:34:53,          0.152,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:20,2013/08/04T17:34:56,          0.056,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:20,2013/08/04T17:34:57,          0.054,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:21,2013/08/04T17:34:21,          2.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:22,2013/08/04T17:34:50,          0.179,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:22,2013/08/04T17:35:02,          0.125,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          1.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:26,2013/08/04T17:34:27,          7.333,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:27,2013/08/04T17:34:56,          0.172,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:28,2013/08/04T17:34:34,          1.500,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:28,2013/08/04T17:35:25,          0.088,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:29,2013/08/04T17:35:03,          0.147,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          2.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:31,2013/08/04T17:34:31,          2.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:32,2013/08/04T17:34:32,          5.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:32,2013/08/04T17:34:35,          2.667,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:33,2013/08/04T17:34:33,          9.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          3.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          3.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:38,2013/08/04T17:34:38,          1.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:39,2013/08/04T17:34:39,         12.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:39,2013/08/04T17:35:07,          0.179,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:40,2013/08/04T17:35:07,          0.185,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:41,2013/08/04T17:34:41,          1.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         13.889,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:43,2013/08/04T17:34:43,          2.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:44,2013/08/04T17:34:45,          8.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:44,2013/08/04T17:34:50,          0.667,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:45,2013/08/04T17:34:50,          0.800,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:46,2013/08/04T17:35:09,          0.087,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:46,2013/08/04T17:35:16,          0.167,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:47,2013/08/04T17:35:13,          0.192,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:47,2013/08/04T17:35:35,          0.104,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:47,2013/08/04T17:35:36,          0.102,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:48,2013/08/04T17:35:17,          0.172,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:49,2013/08/04T17:35:28,          0.128,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:50,2013/08/04T17:34:50,         19.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:50,2013/08/04T17:35:39,          0.102,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:51,2013/08/04T17:35:22,          0.161,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:53,2013/08/04T17:34:53,          1.000,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:53,2013/08/04T17:35:03,          0.400,
                               10.5.2.2,                              10.5.19.2,2013/08/04T17:34:53,2013/08/04T17:35:30,          0.135,
