                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:12,2013/08/04T17:34:35,          0.087,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:12,2013/08/04T17:34:41,          0.172,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          4.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:14,2013/08/04T17:34:16,        121.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:16,2013/08/04T17:34:17,          7.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:16,2013/08/04T17:34:35,          0.105,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         26.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:20,2013/08/04T17:34:35,          7.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:20,2013/08/04T17:34:59,          0.051,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:21,2013/08/04T17:34:21,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          6.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:22,2013/08/04T17:35:10,          0.104,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:26,2013/08/04T17:34:27,          3.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:26,2013/08/04T17:34:28,          9.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:26,2013/08/04T17:35:05,          0.128,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:28,2013/08/04T17:34:28,          9.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:28,2013/08/04T17:34:48,          0.100,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:29,2013/08/04T17:34:29,          9.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:33,2013/08/04T17:34:33,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          2.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:35,2013/08/04T17:35:21,          0.043,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          1.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:39,2013/08/04T17:34:50,          0.364,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:41,2013/08/04T17:34:41,          1.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         13.778,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:42,2013/08/04T17:35:08,          0.192,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:42,2013/08/04T17:35:15,          0.152,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:43,2013/08/04T17:34:43,         13.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:44,2013/08/04T17:35:29,          0.111,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:45,2013/08/04T17:34:50,          0.800,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:46,2013/08/04T17:35:39,          0.094,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          1.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:51,2013/08/04T17:34:51,          9.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:58,2013/08/04T17:35:08,          0.400,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:58,2013/08/04T17:35:34,          0.139,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:58,2013/08/04T17:35:41,          0.116,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:59,2013/08/04T17:34:59,          1.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:34:59,2013/08/04T17:35:39,          0.125,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:35:00,2013/08/04T17:35:06,          0.667,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:35:02,2013/08/04T17:35:38,          0.139,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:35:03,2013/08/04T17:35:03,          1.000,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:35:03,2013/08/04T17:35:06,         30.667,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:35:04,2013/08/04T17:35:06,          3.500,
                               10.5.2.2,                              10.5.20.2,2013/08/04T17:35:05,2013/08/04T17:35:05,          1.000,
