                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:12,2013/08/04T17:34:20,          0.500,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:12,2013/08/04T17:34:42,          0.167,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:13,2013/08/04T17:34:13,         17.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:14,2013/08/04T17:34:35,          0.190,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          4.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:15,2013/08/04T17:34:20,          0.800,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:15,2013/08/04T17:34:35,          0.100,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          2.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:18,2013/08/04T17:34:18,          2.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         23.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:19,2013/08/04T17:35:02,          0.116,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:20,2013/08/04T17:35:01,          0.122,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:20,2013/08/04T17:35:02,          0.048,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:21,2013/08/04T17:34:21,          2.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          2.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          2.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:28,2013/08/04T17:34:59,          0.161,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:30,2013/08/04T17:34:53,          0.217,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:31,2013/08/04T17:34:35,          4.500,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:31,2013/08/04T17:35:05,          0.147,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:32,2013/08/04T17:34:43,         71.455,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          4.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:34:45,          0.400,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:34:58,          0.087,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:35:01,          0.077,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:35:05,          0.167,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:35:08,          0.152,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:35,2013/08/04T17:35:10,          0.057,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:37,2013/08/04T17:35:01,          0.167,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         12.722,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:41,2013/08/04T17:35:08,          0.185,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:42,2013/08/04T17:34:42,          1.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:44,2013/08/04T17:34:45,         15.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:45,2013/08/04T17:34:45,          4.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:46,2013/08/04T17:35:00,          0.143,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          6.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:50,2013/08/04T17:35:21,          0.161,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:51,2013/08/04T17:34:51,         15.000,
                               10.5.2.2,                              10.5.14.2,2013/08/04T17:34:51,2013/08/04T17:35:37,          0.109,
