                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          3.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          9.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:14,2013/08/04T17:34:52,          0.132,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          8.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          2.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:17,2013/08/04T17:34:42,          0.200,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:18,2013/08/04T17:34:18,          2.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:19,2013/08/04T17:34:19,         36.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         20.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:20,2013/08/04T17:35:01,          0.049,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          7.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:22,2013/08/04T17:35:03,          0.122,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:26,2013/08/04T17:34:30,          3.500,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:26,2013/08/04T17:34:58,          0.156,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          5.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:31,2013/08/04T17:35:01,          0.167,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:32,2013/08/04T17:34:32,         25.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:33,2013/08/04T17:34:33,          8.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          2.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:38,2013/08/04T17:35:22,          0.114,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         11.381,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:41,2013/08/04T17:35:06,          0.200,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:42,2013/08/04T17:34:42,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:43,2013/08/04T17:35:09,          0.192,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:43,2013/08/04T17:35:15,          0.156,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:44,2013/08/04T17:35:08,          0.167,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:48,2013/08/04T17:35:45,          0.088,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:50,2013/08/04T17:35:22,          0.156,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:51,2013/08/04T17:35:22,          0.161,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:52,2013/08/04T17:34:52,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:52,2013/08/04T17:34:56,          4.750,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:53,2013/08/04T17:35:20,          0.185,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:57,2013/08/04T17:34:57,         11.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:58,2013/08/04T17:34:58,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:34:58,2013/08/04T17:34:59,         10.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          2.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:01,2013/08/04T17:35:06,          0.800,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:01,2013/08/04T17:35:28,          0.185,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:01,2013/08/04T17:35:34,          0.152,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:03,2013/08/04T17:35:03,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:03,2013/08/04T17:35:06,         26.333,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:03,2013/08/04T17:35:37,          0.118,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:03,2013/08/04T17:35:48,          0.200,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:04,2013/08/04T17:35:06,          5.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:06,2013/08/04T17:35:06,          5.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:07,2013/08/04T17:35:22,          0.267,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:07,2013/08/04T17:35:44,          0.135,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:08,2013/08/04T17:35:08,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:08,2013/08/04T17:35:09,         44.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:09,2013/08/04T17:35:09,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:14,2013/08/04T17:35:14,          9.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:15,2013/08/04T17:35:15,          1.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:16,2013/08/04T17:35:22,          0.667,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:17,2013/08/04T17:35:22,          0.800,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:18,2013/08/04T17:35:51,          0.152,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:20,2013/08/04T17:35:20,          7.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:22,2013/08/04T17:35:22,          3.000,
                               10.5.2.2,                              10.5.10.2,2013/08/04T17:35:26,2013/08/04T17:35:36,          0.400,
