                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:12,2013/08/04T17:34:56,          0.114,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:13,2013/08/04T17:34:35,          0.091,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:14,2013/08/04T17:35:05,          0.098,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:15,2013/08/04T17:34:15,         13.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:15,2013/08/04T17:34:35,          0.100,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          4.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:16,2013/08/04T17:34:48,          0.156,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:17,2013/08/04T17:34:51,          1.147,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:19,2013/08/04T17:34:20,          7.500,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:34:48,          0.071,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:34:52,          0.156,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:34:56,          0.056,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:35:02,          0.048,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:21,2013/08/04T17:34:21,          4.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:21,2013/08/04T17:34:35,          0.286,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:29,2013/08/04T17:34:29,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:31,2013/08/04T17:34:31,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:32,2013/08/04T17:34:32,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:32,2013/08/04T17:34:35,          1.333,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:34,2013/08/04T17:34:48,          0.143,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:34,2013/08/04T17:34:56,          0.091,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          5.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:35,2013/08/04T17:34:55,          0.100,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:35,2013/08/04T17:35:00,          0.080,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:35,2013/08/04T17:35:12,          0.054,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:37,2013/08/04T17:35:03,          0.192,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:38,2013/08/04T17:35:07,          0.172,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:38,2013/08/04T17:35:15,          0.135,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          8.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         11.889,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:34:42,         10.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:43,2013/08/04T17:34:44,          3.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:43,2013/08/04T17:34:50,          0.571,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:45,2013/08/04T17:34:50,          0.800,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:45,2013/08/04T17:35:34,          0.102,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:45,2013/08/04T17:35:37,          0.096,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:46,2013/08/04T17:35:08,          0.091,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          3.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:50,2013/08/04T17:34:50,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:52,2013/08/04T17:34:52,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:55,2013/08/04T17:34:55,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:56,2013/08/04T17:34:56,          3.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:56,2013/08/04T17:35:36,          0.125,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:57,2013/08/04T17:35:46,          0.102,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:58,2013/08/04T17:35:08,          0.400,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:58,2013/08/04T17:35:50,          0.096,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:34:59,2013/08/04T17:35:29,          0.167,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:00,2013/08/04T17:35:00,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:01,2013/08/04T17:35:06,          0.800,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:01,2013/08/04T17:35:47,          0.109,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:02,2013/08/04T17:35:02,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:02,2013/08/04T17:35:36,          0.147,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:02,2013/08/04T17:35:45,          0.116,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:03,2013/08/04T17:35:03,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:03,2013/08/04T17:35:06,         17.833,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:05,2013/08/04T17:35:05,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:05,2013/08/04T17:35:39,          0.147,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:06,2013/08/04T17:35:35,          0.069,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:06,2013/08/04T17:35:42,          0.139,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:07,2013/08/04T17:35:07,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:07,2013/08/04T17:35:34,          0.185,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:08,2013/08/04T17:35:08,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:09,2013/08/04T17:35:43,          0.147,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:10,2013/08/04T17:35:22,          0.333,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:11,2013/08/04T17:35:30,          0.263,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:12,2013/08/04T17:35:12,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:15,2013/08/04T17:35:15,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:26,2013/08/04T17:35:27,         12.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:26,2013/08/04T17:35:36,          0.400,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:26,2013/08/04T17:35:37,          8.318,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:27,2013/08/04T17:35:27,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:28,2013/08/04T17:35:39,          0.364,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:29,2013/08/04T17:35:29,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:30,2013/08/04T17:35:30,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:30,2013/08/04T17:35:37,          0.571,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:30,2013/08/04T17:36:21,          0.098,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:33,2013/08/04T17:35:33,          3.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:34,2013/08/04T17:35:34,          3.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:35,2013/08/04T17:35:35,          1.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:36,2013/08/04T17:35:36,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:37,2013/08/04T17:35:37,          4.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:37,2013/08/04T17:36:27,          0.080,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:38,2013/08/04T17:35:38,          2.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:39,2013/08/04T17:35:39,          4.000,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:39,2013/08/04T17:36:30,          0.078,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:40,2013/08/04T17:36:29,          0.082,
                               10.5.2.2,                              10.5.16.2,2013/08/04T17:35:42,2013/08/04T17:35:42,          1.000,
