                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          3.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          4.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:13,2013/08/04T17:35:03,          0.100,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:14,2013/08/04T17:34:15,          9.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:16,2013/08/04T17:34:16,         18.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:17,2013/08/04T17:34:17,         13.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:18,2013/08/04T17:34:18,          4.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         15.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:19,2013/08/04T17:34:32,          0.154,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:20,2013/08/04T17:34:35,          4.933,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:20,2013/08/04T17:34:44,          0.208,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:20,2013/08/04T17:34:45,          0.200,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:20,2013/08/04T17:34:46,          0.077,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:20,2013/08/04T17:35:03,          0.047,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:21,2013/08/04T17:34:43,          0.091,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:21,2013/08/04T17:34:52,          0.161,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          2.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:22,2013/08/04T17:34:32,          0.400,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:22,2013/08/04T17:34:53,          0.161,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:26,2013/08/04T17:34:26,         13.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:26,2013/08/04T17:34:27,         15.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:26,2013/08/04T17:34:28,          7.500,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:28,2013/08/04T17:34:28,         13.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:30,2013/08/04T17:35:01,          0.161,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:30,2013/08/04T17:35:17,          0.106,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:32,2013/08/04T17:34:32,          4.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:33,2013/08/04T17:34:33,         12.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:35,2013/08/04T17:34:50,          0.133,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:35,2013/08/04T17:35:05,          0.167,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:35,2013/08/04T17:35:07,          0.063,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:35,2013/08/04T17:35:10,          0.057,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:36,2013/08/04T17:35:04,          0.143,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:38,2013/08/04T17:35:22,          0.114,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:40,2013/08/04T17:34:59,          0.263,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:41,2013/08/04T17:34:41,          2.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:41,2013/08/04T17:34:50,          2.778,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:42,2013/08/04T17:34:50,         14.750,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:43,2013/08/04T17:34:43,          1.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:43,2013/08/04T17:34:50,          2.857,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:44,2013/08/04T17:34:44,          1.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:45,2013/08/04T17:34:45,          3.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:45,2013/08/04T17:35:34,          0.102,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:49,2013/08/04T17:34:49,          2.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:50,2013/08/04T17:34:50,          1.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:51,2013/08/04T17:35:06,          0.267,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:52,2013/08/04T17:34:52,          1.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:53,2013/08/04T17:34:53,          1.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:59,2013/08/04T17:34:59,          4.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:34:59,2013/08/04T17:35:00,          9.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:35:00,2013/08/04T17:35:00,          9.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          1.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:35:02,2013/08/04T17:35:13,         72.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:35:03,2013/08/04T17:35:03,          2.000,
                               10.5.2.2,                               10.5.5.2,2013/08/04T17:35:03,2013/08/04T17:35:06,         25.750,
