                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          2.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:15,2013/08/04T17:34:56,          0.122,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:16,2013/08/04T17:34:16,         11.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:16,2013/08/04T17:34:59,          0.116,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          2.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:17,2013/08/04T17:34:29,          0.167,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:17,2013/08/04T17:34:58,          0.122,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:18,2013/08/04T17:34:35,          0.118,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         22.500,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          3.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:35,          4.800,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:39,          0.105,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:50,          0.167,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:21,2013/08/04T17:34:21,         12.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:22,2013/08/04T17:35:03,          0.122,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          3.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:29,2013/08/04T17:34:29,          3.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:32,2013/08/04T17:34:32,         17.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:32,2013/08/04T17:34:33,          8.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:33,2013/08/04T17:34:33,          2.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:34,2013/08/04T17:35:18,          0.114,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          3.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:35,2013/08/04T17:35:17,          0.048,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:37,2013/08/04T17:35:12,          0.143,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          1.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:41,2013/08/04T17:34:50,          8.778,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:42,2013/08/04T17:34:42,          2.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:42,2013/08/04T17:35:04,          0.091,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:42,2013/08/04T17:35:10,          0.179,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:45,2013/08/04T17:35:06,          0.190,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:45,2013/08/04T17:35:11,          0.154,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          9.000,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:49,2013/08/04T17:35:19,          0.167,
                               10.5.2.2,                               10.5.4.2,2013/08/04T17:34:49,2013/08/04T17:35:21,          0.156,
