                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          4.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          2.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:14,2013/08/04T17:34:53,          0.128,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:17,2013/08/04T17:35:04,          0.106,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:18,2013/08/04T17:34:30,          0.167,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:18,2013/08/04T17:34:42,          0.208,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:18,2013/08/04T17:35:05,          0.064,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:19,2013/08/04T17:34:19,         16.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         16.500,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:19,2013/08/04T17:34:32,          0.154,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          4.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:34:21,          9.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:34:57,          0.054,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:35:05,          0.111,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:21,2013/08/04T17:34:21,          2.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:21,2013/08/04T17:34:28,          2.143,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:22,2013/08/04T17:34:56,          0.147,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          2.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:26,2013/08/04T17:34:56,          0.133,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:26,2013/08/04T17:35:12,          0.109,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:28,2013/08/04T17:34:28,         26.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:29,2013/08/04T17:34:43,          0.143,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:29,2013/08/04T17:35:19,          0.100,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          5.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:30,2013/08/04T17:35:20,          0.100,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:31,2013/08/04T17:35:02,          0.161,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:32,2013/08/04T17:35:18,          0.196,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:33,2013/08/04T17:34:51,          0.111,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:34,2013/08/04T17:34:34,          2.000,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:34,2013/08/04T17:34:40,         52.500,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:34,2013/08/04T17:34:56,          0.091,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:34,2013/08/04T17:34:57,          0.087,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:34,2013/08/04T17:35:20,          0.109,
                               10.5.2.2,                              10.5.11.2,2013/08/04T17:34:35,2013/08/04T17:35:09,          0.147,
