                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:12,2013/08/04T17:34:14,          6.500,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:13,2013/08/04T17:34:43,          0.167,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:13,2013/08/04T17:34:56,          0.116,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:15,2013/08/04T17:34:39,          0.167,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:15,2013/08/04T17:34:45,          0.133,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:16,2013/08/04T17:34:39,          0.217,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:16,2013/08/04T17:34:46,          0.167,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:17,2013/08/04T17:34:56,          0.128,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:18,2013/08/04T17:34:18,          4.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:19,2013/08/04T17:34:19,         29.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         15.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:19,2013/08/04T17:35:14,          0.036,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:20,2013/08/04T17:34:57,          0.054,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          6.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:26,2013/08/04T17:35:01,          0.143,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:27,2013/08/04T17:35:15,          0.104,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:28,2013/08/04T17:34:28,          9.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:29,2013/08/04T17:34:29,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:29,2013/08/04T17:35:18,          0.102,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:30,2013/08/04T17:34:30,         10.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:30,2013/08/04T17:35:12,          0.119,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:33,2013/08/04T17:34:33,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:33,2013/08/04T17:35:17,          0.114,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:37,2013/08/04T17:34:38,          8.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:38,2013/08/04T17:34:38,          7.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:39,2013/08/04T17:34:39,         12.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         11.463,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:42,2013/08/04T17:35:29,          0.106,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:43,2013/08/04T17:34:43,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:43,2013/08/04T17:35:10,          0.185,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:44,2013/08/04T17:34:50,          0.667,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:44,2013/08/04T17:35:39,          0.091,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:45,2013/08/04T17:34:45,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:45,2013/08/04T17:35:39,          0.093,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:46,2013/08/04T17:34:46,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:46,2013/08/04T17:35:09,          0.087,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:48,2013/08/04T17:34:50,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:48,2013/08/04T17:35:40,          0.096,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:49,2013/08/04T17:34:49,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:51,2013/08/04T17:35:28,          0.135,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:51,2013/08/04T17:35:29,          0.132,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:51,2013/08/04T17:35:36,          0.111,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:53,2013/08/04T17:34:53,          5.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:53,2013/08/04T17:35:16,          0.217,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:56,2013/08/04T17:34:56,         19.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:57,2013/08/04T17:34:57,         19.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:58,2013/08/04T17:34:58,         12.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:34:59,2013/08/04T17:35:42,          0.116,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:00,2013/08/04T17:35:28,          0.179,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:02,2013/08/04T17:35:50,          0.104,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:03,2013/08/04T17:35:06,         21.500,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:03,2013/08/04T17:35:07,          0.750,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:03,2013/08/04T17:35:10,          0.429,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:04,2013/08/04T17:35:05,          8.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:06,2013/08/04T17:35:06,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:07,2013/08/04T17:35:43,          0.139,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:08,2013/08/04T17:35:40,          0.156,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:09,2013/08/04T17:35:09,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:10,2013/08/04T17:35:10,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:11,2013/08/04T17:35:22,          0.364,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:11,2013/08/04T17:35:40,          0.172,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:12,2013/08/04T17:35:12,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:12,2013/08/04T17:35:48,          0.139,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:14,2013/08/04T17:35:22,          0.500,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:14,2013/08/04T17:35:42,          0.143,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:15,2013/08/04T17:35:15,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:16,2013/08/04T17:35:16,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:17,2013/08/04T17:35:17,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:17,2013/08/04T17:35:42,          0.200,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:17,2013/08/04T17:35:43,          0.192,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:18,2013/08/04T17:35:18,          6.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:18,2013/08/04T17:35:22,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:21,2013/08/04T17:35:22,          4.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:22,2013/08/04T17:35:22,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:26,2013/08/04T17:35:37,          8.394,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:26,2013/08/04T17:35:50,          0.208,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:27,2013/08/04T17:35:37,          9.800,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:27,2013/08/04T17:36:07,          0.125,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:28,2013/08/04T17:35:28,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:28,2013/08/04T17:35:48,          0.250,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:29,2013/08/04T17:35:29,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:34,2013/08/04T17:35:37,          1.333,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:34,2013/08/04T17:35:44,          0.400,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:35,2013/08/04T17:36:07,          0.156,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:35,2013/08/04T17:36:25,          0.100,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:35,2013/08/04T17:36:26,          0.098,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:36,2013/08/04T17:35:36,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:36,2013/08/04T17:36:06,          0.167,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:36,2013/08/04T17:36:08,          0.156,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:39,2013/08/04T17:35:39,          5.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:40,2013/08/04T17:35:40,          3.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:40,2013/08/04T17:36:23,          0.093,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:40,2013/08/04T17:36:30,          0.080,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:41,2013/08/04T17:35:41,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:41,2013/08/04T17:36:27,          0.087,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:42,2013/08/04T17:35:42,          4.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:43,2013/08/04T17:35:43,          8.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:43,2013/08/04T17:36:26,          0.093,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:44,2013/08/04T17:35:44,          3.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:44,2013/08/04T17:35:45,          8.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:46,2013/08/04T17:36:34,          0.083,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:47,2013/08/04T17:35:47,          3.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:48,2013/08/04T17:35:48,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:48,2013/08/04T17:35:49,          4.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:48,2013/08/04T17:35:51,         19.667,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:50,2013/08/04T17:35:50,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:35:50,2013/08/04T17:36:42,          0.096,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:06,2013/08/04T17:36:06,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:06,2013/08/04T17:36:07,          6.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:06,2013/08/04T17:36:26,          0.850,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:07,2013/08/04T17:36:07,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:07,2013/08/04T17:36:10,         76.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:08,2013/08/04T17:36:08,          4.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:09,2013/08/04T17:36:26,          0.118,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:09,2013/08/04T17:36:27,          0.111,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:09,2013/08/04T17:36:52,          0.047,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:10,2013/08/04T17:36:24,          0.381,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:10,2013/08/04T17:36:45,          0.143,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:22,2013/08/04T17:36:41,          0.105,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:23,2013/08/04T17:36:23,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:24,2013/08/04T17:36:24,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:24,2013/08/04T17:36:57,          0.061,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:25,2013/08/04T17:36:25,          1.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:25,2013/08/04T17:36:47,          0.091,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:25,2013/08/04T17:36:52,          0.185,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:25,2013/08/04T17:38:25,          0.017,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:26,2013/08/04T17:36:26,         12.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:26,2013/08/04T17:36:40,          0.143,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:27,2013/08/04T17:36:27,          2.000,
                               10.5.2.2,                              10.5.12.2,2013/08/04T17:36:29,2013/08/04T17:36:56,          0.185,
