                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:12,2013/08/04T17:34:20,          0.500,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:13,2013/08/04T17:34:39,          0.154,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:16,2013/08/04T17:34:30,          0.143,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:17,2013/08/04T17:34:46,          0.172,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:18,2013/08/04T17:34:18,          4.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:19,2013/08/04T17:34:20,         12.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:19,2013/08/04T17:34:35,          3.438,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:20,2013/08/04T17:34:48,          0.071,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:20,2013/08/04T17:34:50,          0.167,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:20,2013/08/04T17:34:53,          0.061,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:20,2013/08/04T17:35:03,          0.116,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:22,2013/08/04T17:34:22,         13.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:23,2013/08/04T17:34:23,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:29,2013/08/04T17:35:04,          0.143,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          5.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:30,2013/08/04T17:34:40,          0.400,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:30,2013/08/04T17:35:08,          0.132,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:30,2013/08/04T17:35:10,          0.125,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:30,2013/08/04T17:35:11,          0.122,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:32,2013/08/04T17:34:32,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:32,2013/08/04T17:34:33,         14.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:32,2013/08/04T17:34:46,         62.143,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:33,2013/08/04T17:35:05,          0.156,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:36,2013/08/04T17:35:01,          0.120,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:38,2013/08/04T17:35:10,          0.156,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:41,2013/08/04T17:34:41,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:41,2013/08/04T17:34:50,         13.361,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:42,2013/08/04T17:34:46,        198.250,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:44,2013/08/04T17:34:46,          4.500,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:44,2013/08/04T17:35:13,          0.138,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:45,2013/08/04T17:35:12,          0.148,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:46,2013/08/04T17:34:46,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:47,2013/08/04T17:34:48,          8.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:47,2013/08/04T17:35:43,          0.089,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          3.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:50,2013/08/04T17:34:50,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:50,2013/08/04T17:35:40,          0.100,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:51,2013/08/04T17:35:06,          0.267,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:53,2013/08/04T17:34:53,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:53,2013/08/04T17:35:20,          0.185,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:53,2013/08/04T17:35:42,          0.102,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:57,2013/08/04T17:34:57,          8.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:34:59,2013/08/04T17:35:44,          0.111,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:02,2013/08/04T17:35:39,          0.135,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:03,2013/08/04T17:35:03,          6.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:03,2013/08/04T17:35:06,         22.833,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:04,2013/08/04T17:35:04,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:04,2013/08/04T17:35:06,         27.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:04,2013/08/04T17:35:23,          0.105,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:05,2013/08/04T17:35:05,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:06,2013/08/04T17:35:46,          0.050,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:08,2013/08/04T17:35:08,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:08,2013/08/04T17:35:40,          0.156,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:09,2013/08/04T17:35:22,          0.308,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:09,2013/08/04T17:35:44,          0.143,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:10,2013/08/04T17:35:10,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:11,2013/08/04T17:35:11,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:12,2013/08/04T17:35:12,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:12,2013/08/04T17:35:46,          0.147,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:13,2013/08/04T17:35:13,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:15,2013/08/04T17:35:15,          3.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:15,2013/08/04T17:35:22,          0.571,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:17,2013/08/04T17:35:39,          0.227,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:18,2013/08/04T17:35:50,          0.156,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:19,2013/08/04T17:35:22,          1.333,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:20,2013/08/04T17:35:20,          7.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:22,2013/08/04T17:35:47,          0.160,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:23,2013/08/04T17:35:23,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:25,2013/08/04T17:35:26,          3.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:26,2013/08/04T17:35:28,         23.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:26,2013/08/04T17:35:37,          6.894,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:26,2013/08/04T17:35:45,          0.263,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:28,2013/08/04T17:35:37,          0.444,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:30,2013/08/04T17:35:40,          0.300,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:30,2013/08/04T17:35:41,          0.182,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:33,2013/08/04T17:35:43,         39.250,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:34,2013/08/04T17:35:34,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:34,2013/08/04T17:36:06,          0.156,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:37,2013/08/04T17:36:07,          0.133,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:37,2013/08/04T17:36:24,          0.085,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:38,2013/08/04T17:35:38,          6.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:39,2013/08/04T17:35:39,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:40,2013/08/04T17:35:40,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:40,2013/08/04T17:36:07,          0.185,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:41,2013/08/04T17:35:41,          3.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:42,2013/08/04T17:35:42,          4.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:43,2013/08/04T17:35:43,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:44,2013/08/04T17:35:44,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:44,2013/08/04T17:36:30,          0.087,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:45,2013/08/04T17:35:45,         13.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:46,2013/08/04T17:35:46,          2.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:47,2013/08/04T17:35:47,          1.000,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:47,2013/08/04T17:36:34,          0.085,
                               10.5.2.2,                              10.5.13.2,2013/08/04T17:35:48,2013/08/04T17:35:49,          2.000,
