                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:11,2013/08/04T20:25:28,          2.647,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:11,2013/08/04T20:25:29,          6.056,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:13,2013/08/04T20:25:38,          1.960,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:13,2013/08/04T20:25:43,          3.733,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:14,2013/08/04T20:25:14,         11.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:15,2013/08/04T20:25:15,         10.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:16,2013/08/04T20:25:16,          9.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:18,2013/08/04T20:25:19,          4.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:19,2013/08/04T20:25:19,         10.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:24,2013/08/04T20:25:26,        386.500,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:25,2013/08/04T20:25:26,         10.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:25,2013/08/04T20:25:55,          4.033,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:26,2013/08/04T20:25:26,          1.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:37,2013/08/04T20:25:37,          7.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:37,2013/08/04T20:25:41,          6.500,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:38,2013/08/04T20:25:38,         12.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:39,2013/08/04T20:25:39,         11.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:39,2013/08/04T20:25:45,          1.667,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:39,2013/08/04T20:26:09,          5.433,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:44,2013/08/04T20:25:45,         10.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:45,2013/08/04T20:25:45,         12.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:46,2013/08/04T20:25:46,         11.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:53,2013/08/04T20:25:55,         93.250,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:55,2013/08/04T20:25:55,          1.000,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:55,2013/08/04T20:25:58,          7.333,
                              10.5.10.2,                              10.5.15.2,2013/08/04T20:25:58,2013/08/04T20:26:26,          4.393,
