                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:11,2013/08/04T20:25:11,          2.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:11,2013/08/04T20:25:38,          7.222,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:11,2013/08/04T20:25:39,          5.786,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:12,2013/08/04T20:25:30,          6.833,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:13,2013/08/04T20:25:27,          8.071,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:14,2013/08/04T20:25:14,          4.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:15,2013/08/04T20:25:18,         43.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:16,2013/08/04T20:25:16,         11.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:18,2013/08/04T20:25:18,         11.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:20,2013/08/04T20:25:46,          6.077,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:25,2013/08/04T20:25:26,          9.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:26,2013/08/04T20:25:56,          5.767,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:27,2013/08/04T20:25:27,         11.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:36,2013/08/04T20:26:01,          0.520,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:37,2013/08/04T20:25:37,          6.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:38,2013/08/04T20:26:08,          5.900,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:39,2013/08/04T20:25:40,          9.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:40,2013/08/04T20:25:40,          1.000,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:40,2013/08/04T20:26:11,          0.742,
                              10.5.10.2,                              10.5.19.2,2013/08/04T20:25:42,2013/08/04T20:25:43,          9.000,
