                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:11,2013/08/04T20:25:11,         20.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:11,2013/08/04T20:25:30,         10.895,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:12,2013/08/04T20:25:12,         11.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:12,2013/08/04T20:25:13,          8.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:12,2013/08/04T20:25:26,          3.429,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:13,2013/08/04T20:25:13,         22.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:13,2013/08/04T20:25:39,          5.385,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:17,2013/08/04T20:25:18,         10.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:18,2013/08/04T20:25:18,          1.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:19,2013/08/04T20:25:19,          7.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:19,2013/08/04T20:25:22,         43.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:20,2013/08/04T20:25:20,          9.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:22,2013/08/04T20:25:24,         12.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:24,2013/08/04T20:25:54,          2.833,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:26,2013/08/04T20:25:26,         11.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:30,2013/08/04T20:25:37,          1.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:37,2013/08/04T20:25:37,          9.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:38,2013/08/04T20:25:39,         10.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:39,2013/08/04T20:25:39,          1.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:42,2013/08/04T20:25:43,         10.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:42,2013/08/04T20:26:12,         10.767,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:43,2013/08/04T20:25:43,         22.000,
                              10.5.10.2,                               10.5.6.2,2013/08/04T20:25:44,2013/08/04T20:25:45,         10.000,
