                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:11,2013/08/04T20:25:11,         12.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:11,2013/08/04T20:25:37,          4.846,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:11,2013/08/04T20:25:38,          2.333,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:11,2013/08/04T20:25:42,          4.484,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:12,2013/08/04T20:25:12,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:14,2013/08/04T20:25:14,          9.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:14,2013/08/04T20:25:15,          7.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:15,2013/08/04T20:25:15,          7.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:19,2013/08/04T20:25:19,         18.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:25,2013/08/04T20:25:25,          3.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:26,2013/08/04T20:25:26,          2.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:26,2013/08/04T20:25:56,          4.467,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:29,2013/08/04T20:25:29,          6.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:30,2013/08/04T20:25:30,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:36,2013/08/04T20:25:42,          3.167,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:36,2013/08/04T20:26:00,          5.292,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:36,2013/08/04T20:26:06,          6.333,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:38,2013/08/04T20:26:08,          5.433,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:39,2013/08/04T20:25:39,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:40,2013/08/04T20:25:42,        394.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:41,2013/08/04T20:25:41,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:41,2013/08/04T20:25:42,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:41,2013/08/04T20:25:43,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:43,2013/08/04T20:25:46,          8.667,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:44,2013/08/04T20:25:44,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:46,2013/08/04T20:25:46,          4.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:49,2013/08/04T20:25:49,          2.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:25:56,2013/08/04T20:25:56,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:00,2013/08/04T20:26:00,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:00,2013/08/04T20:26:01,          9.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:01,2013/08/04T20:26:01,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:01,2013/08/04T20:26:02,          8.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:01,2013/08/04T20:26:31,          6.667,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:02,2013/08/04T20:26:02,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:02,2013/08/04T20:26:04,         12.500,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:04,2013/08/04T20:26:04,          3.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:06,2013/08/04T20:26:10,         44.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:07,2013/08/04T20:26:07,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:07,2013/08/04T20:26:08,         10.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:08,2013/08/04T20:26:08,          1.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:09,2013/08/04T20:26:09,         19.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:10,2013/08/04T20:26:10,         11.000,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:10,2013/08/04T20:26:36,          7.269,
                              10.5.10.2,                               10.5.7.2,2013/08/04T20:26:11,2013/08/04T20:26:12,         10.000,
