                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:11,2013/08/04T20:25:11,          4.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:11,2013/08/04T20:25:12,          2.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:11,2013/08/04T20:25:30,         14.211,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:11,2013/08/04T20:25:38,          2.333,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:13,2013/08/04T20:25:14,          4.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:14,2013/08/04T20:25:14,         10.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:14,2013/08/04T20:25:15,          7.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:15,2013/08/04T20:25:15,          5.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:17,2013/08/04T20:25:19,          4.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:17,2013/08/04T20:25:43,          4.692,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:18,2013/08/04T20:25:18,          1.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:18,2013/08/04T20:25:19,          5.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:19,2013/08/04T20:25:19,         24.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:21,2013/08/04T20:25:23,        291.500,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:23,2013/08/04T20:25:24,          8.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:24,2013/08/04T20:25:24,          1.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:26,2013/08/04T20:25:26,         14.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:27,2013/08/04T20:25:28,         10.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:28,2013/08/04T20:25:28,         12.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:36,2013/08/04T20:25:38,         51.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:37,2013/08/04T20:25:37,         11.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:37,2013/08/04T20:25:38,          8.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:38,2013/08/04T20:25:38,         12.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:39,2013/08/04T20:25:39,         11.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:39,2013/08/04T20:25:40,          2.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:39,2013/08/04T20:26:09,          3.033,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:40,2013/08/04T20:26:00,          6.050,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:41,2013/08/04T20:25:42,        389.500,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:43,2013/08/04T20:25:43,         22.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:44,2013/08/04T20:25:44,         10.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:44,2013/08/04T20:25:45,         10.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:45,2013/08/04T20:25:45,         12.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:46,2013/08/04T20:25:46,         11.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:53,2013/08/04T20:25:54,         10.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:54,2013/08/04T20:25:54,          1.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:59,2013/08/04T20:26:02,         70.333,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:59,2013/08/04T20:26:10,          6.000,
                              10.5.10.2,                               10.5.2.2,2013/08/04T20:25:59,2013/08/04T20:26:29,          7.633,
