                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:11,2013/08/04T20:25:11,         10.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:11,2013/08/04T20:25:12,          9.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:11,2013/08/04T20:25:42,          5.677,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:12,2013/08/04T20:25:12,          1.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:12,2013/08/04T20:25:42,          5.100,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:13,2013/08/04T20:25:13,          3.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:14,2013/08/04T20:25:14,          7.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:16,2013/08/04T20:25:29,         11.308,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:17,2013/08/04T20:25:18,          4.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:18,2013/08/04T20:25:18,          9.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:19,2013/08/04T20:25:20,          6.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:20,2013/08/04T20:25:20,          1.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:21,2013/08/04T20:25:21,          4.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:22,2013/08/04T20:25:24,          3.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:24,2013/08/04T20:25:24,          1.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:24,2013/08/04T20:25:25,         11.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:25,2013/08/04T20:25:25,         25.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:26,2013/08/04T20:25:27,         11.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:26,2013/08/04T20:25:29,          3.333,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:26,2013/08/04T20:25:56,          8.233,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:26,2013/08/04T20:25:59,          3.121,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:27,2013/08/04T20:25:27,          1.000,
                              10.5.10.2,                               10.5.9.2,2013/08/04T20:25:27,2013/08/04T20:25:29,        387.000,
