                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:11,2013/08/04T20:25:16,          6.800,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:11,2013/08/04T20:25:25,          7.571,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:12,2013/08/04T20:25:13,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:13,2013/08/04T20:25:13,          1.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:16,2013/08/04T20:25:16,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:23,2013/08/04T20:25:30,          3.571,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:24,2013/08/04T20:25:25,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:25,2013/08/04T20:25:25,          5.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:27,2013/08/04T20:25:28,          8.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:27,2013/08/04T20:25:30,          6.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:28,2013/08/04T20:25:28,          1.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:29,2013/08/04T20:25:59,          2.967,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:30,2013/08/04T20:25:30,          4.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:36,2013/08/04T20:26:03,          7.519,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:37,2013/08/04T20:25:37,         16.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:37,2013/08/04T20:25:38,          6.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:37,2013/08/04T20:25:41,          6.250,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:38,2013/08/04T20:25:39,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:38,2013/08/04T20:26:10,          3.938,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:39,2013/08/04T20:25:39,         24.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:40,2013/08/04T20:25:40,         21.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:41,2013/08/04T20:25:41,          1.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:41,2013/08/04T20:25:46,          5.200,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:42,2013/08/04T20:25:43,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:43,2013/08/04T20:25:43,         12.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:43,2013/08/04T20:25:46,         70.333,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:44,2013/08/04T20:25:44,         50.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:45,2013/08/04T20:25:45,         39.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:46,2013/08/04T20:25:46,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:53,2013/08/04T20:25:54,         53.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:53,2013/08/04T20:26:19,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:56,2013/08/04T20:25:56,          4.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:25:58,2013/08/04T20:26:27,         10.241,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:02,2013/08/04T20:26:03,          8.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:02,2013/08/04T20:26:07,          2.800,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:04,2013/08/04T20:26:12,         62.375,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:06,2013/08/04T20:26:06,          7.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:08,2013/08/04T20:26:08,          5.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:09,2013/08/04T20:26:09,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:09,2013/08/04T20:26:32,          7.435,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:09,2013/08/04T20:26:39,          9.300,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:11,2013/08/04T20:26:11,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:12,2013/08/04T20:26:14,         13.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:14,2013/08/04T20:26:15,         10.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:15,2013/08/04T20:26:15,          1.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:16,2013/08/04T20:26:19,         67.667,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:18,2013/08/04T20:26:18,          6.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:23,2013/08/04T20:26:23,         11.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:26,2013/08/04T20:26:28,          5.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:26,2013/08/04T20:26:31,          1.400,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:26,2013/08/04T20:26:53,          9.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:27,2013/08/04T20:26:31,         29.750,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:30,2013/08/04T20:26:30,         11.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:31,2013/08/04T20:26:31,          4.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:35,2013/08/04T20:27:05,          8.767,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:36,2013/08/04T20:26:36,         12.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:37,2013/08/04T20:26:37,         20.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:38,2013/08/04T20:27:08,          8.033,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:39,2013/08/04T20:26:43,          5.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:39,2013/08/04T20:27:09,          8.167,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:40,2013/08/04T20:26:41,         23.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:40,2013/08/04T20:26:42,          2.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:40,2013/08/04T20:27:10,          3.467,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:41,2013/08/04T20:26:41,         11.000,
                              10.5.10.2,                               10.5.4.2,2013/08/04T20:26:42,2013/08/04T20:26:42,          9.000,
