                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:11,2013/08/04T20:25:23,          8.083,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:11,2013/08/04T20:25:36,          5.680,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:11,2013/08/04T20:25:41,          6.267,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:11,2013/08/04T20:25:42,          6.129,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:12,2013/08/04T20:25:12,         11.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:12,2013/08/04T20:25:13,          9.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:13,2013/08/04T20:25:13,          5.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:14,2013/08/04T20:25:16,         11.500,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:15,2013/08/04T20:25:16,          5.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:16,2013/08/04T20:25:16,          6.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:16,2013/08/04T20:25:17,        452.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:16,2013/08/04T20:25:46,          6.067,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:17,2013/08/04T20:25:17,          9.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:18,2013/08/04T20:25:18,          8.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:20,2013/08/04T20:25:20,          2.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:24,2013/08/04T20:25:54,          3.733,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:27,2013/08/04T20:25:30,          5.667,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:27,2013/08/04T20:25:56,          6.379,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:36,2013/08/04T20:25:36,          2.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:37,2013/08/04T20:25:37,          5.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:38,2013/08/04T20:25:38,         20.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:38,2013/08/04T20:26:09,          5.065,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:39,2013/08/04T20:25:39,         11.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:40,2013/08/04T20:25:40,         25.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:40,2013/08/04T20:25:41,         10.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:41,2013/08/04T20:25:41,         12.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:43,2013/08/04T20:25:43,          9.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:44,2013/08/04T20:26:14,          4.733,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:53,2013/08/04T20:25:58,          4.200,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:55,2013/08/04T20:25:56,          6.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:56,2013/08/04T20:26:27,          5.871,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:25:59,2013/08/04T20:25:59,         11.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:01,2013/08/04T20:26:01,          6.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:03,2013/08/04T20:26:03,         11.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:03,2013/08/04T20:26:04,          9.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:07,2013/08/04T20:26:07,         10.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:10,2013/08/04T20:26:10,         22.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:12,2013/08/04T20:26:12,         11.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:12,2013/08/04T20:26:16,          6.500,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:13,2013/08/04T20:26:13,         42.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:13,2013/08/04T20:26:14,         10.000,
                              10.5.10.2,                              10.5.11.2,2013/08/04T20:26:13,2013/08/04T20:26:16,          8.000,
