                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:11,2013/08/04T20:25:12,        468.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:11,2013/08/04T20:25:26,          7.733,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:11,2013/08/04T20:25:30,          5.474,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:12,2013/08/04T20:25:12,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:14,2013/08/04T20:25:14,          5.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:18,2013/08/04T20:25:18,          2.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:19,2013/08/04T20:25:22,          3.333,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:22,2013/08/04T20:25:22,         13.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:22,2013/08/04T20:25:23,         12.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:24,2013/08/04T20:25:25,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:25,2013/08/04T20:25:25,          1.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:26,2013/08/04T20:25:26,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:36,2013/08/04T20:26:01,          5.820,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:37,2013/08/04T20:25:38,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:38,2013/08/04T20:25:38,          1.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:38,2013/08/04T20:26:07,          1.483,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:39,2013/08/04T20:25:39,          9.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:39,2013/08/04T20:25:40,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:39,2013/08/04T20:26:09,          3.067,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:40,2013/08/04T20:25:40,         23.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:41,2013/08/04T20:25:42,          4.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:43,2013/08/04T20:25:43,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:44,2013/08/04T20:25:45,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:45,2013/08/04T20:25:45,          7.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:53,2013/08/04T20:26:17,          4.208,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:56,2013/08/04T20:25:56,          6.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:59,2013/08/04T20:26:00,          9.667,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:59,2013/08/04T20:26:02,          8.667,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:25:59,2013/08/04T20:26:28,          8.345,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:00,2013/08/04T20:26:00,         13.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:07,2013/08/04T20:26:09,        244.500,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:08,2013/08/04T20:26:09,          5.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:09,2013/08/04T20:26:09,         12.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:10,2013/08/04T20:26:10,          9.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:11,2013/08/04T20:26:22,          0.545,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:12,2013/08/04T20:26:18,          0.833,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:13,2013/08/04T20:26:13,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:14,2013/08/04T20:26:15,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:15,2013/08/04T20:26:15,          1.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:16,2013/08/04T20:26:16,         20.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:17,2013/08/04T20:26:18,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:18,2013/08/04T20:26:18,          1.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:18,2013/08/04T20:26:27,          2.889,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:22,2013/08/04T20:26:26,          4.500,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:24,2013/08/04T20:26:25,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:25,2013/08/04T20:26:25,          1.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:26,2013/08/04T20:26:26,          9.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:28,2013/08/04T20:26:28,          9.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:30,2013/08/04T20:26:30,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:31,2013/08/04T20:27:05,          5.588,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:35,2013/08/04T20:26:35,          8.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:38,2013/08/04T20:26:38,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:38,2013/08/04T20:27:08,          4.600,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:40,2013/08/04T20:26:40,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:40,2013/08/04T20:27:10,          3.933,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:42,2013/08/04T20:26:42,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:42,2013/08/04T20:26:52,          0.600,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:43,2013/08/04T20:26:43,          8.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:43,2013/08/04T20:26:49,          2.833,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:49,2013/08/04T20:26:49,         11.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:50,2013/08/04T20:26:50,         31.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:51,2013/08/04T20:27:05,          0.571,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:59,2013/08/04T20:26:59,         16.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:26:59,2013/08/04T20:27:00,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:00,2013/08/04T20:27:00,         12.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:01,2013/08/04T20:27:01,          8.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:01,2013/08/04T20:27:02,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:02,2013/08/04T20:27:02,         20.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:03,2013/08/04T20:27:03,          8.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:03,2013/08/04T20:27:33,          3.900,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:04,2013/08/04T20:27:04,          6.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:04,2013/08/04T20:27:34,          9.833,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:05,2013/08/04T20:27:05,         10.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:05,2013/08/04T20:27:06,          8.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:05,2013/08/04T20:27:07,          1.500,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:06,2013/08/04T20:27:06,          1.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:07,2013/08/04T20:27:07,          9.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:07,2013/08/04T20:27:08,          8.000,
                              10.5.10.2,                               10.5.8.2,2013/08/04T20:27:08,2013/08/04T20:27:08,          1.000,
