                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          3.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:14,2013/08/04T17:34:17,         13.333,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          3.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:15,2013/08/04T17:34:26,          0.182,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:15,2013/08/04T17:34:38,          0.196,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:15,2013/08/04T17:34:56,          0.122,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          6.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:16,2013/08/04T17:34:17,         19.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:17,2013/08/04T17:34:17,         24.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:17,2013/08/04T17:34:29,          0.250,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          2.992,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:21,2013/08/04T17:34:44,          0.087,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          3.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:22,2013/08/04T17:34:43,          0.190,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:22,2013/08/04T17:34:52,         26.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          1.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:26,2013/08/04T17:34:29,          0.667,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:27,2013/08/04T17:35:09,          0.119,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:28,2013/08/04T17:34:38,          0.200,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:29,2013/08/04T17:34:29,          3.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          1.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:31,2013/08/04T17:34:31,          1.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:34,2013/08/04T17:35:34,          0.117,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:35,2013/08/04T17:35:10,          0.143,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:38,2013/08/04T17:34:38,          1.000,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:38,2013/08/04T17:35:00,          0.182,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:38,2013/08/04T17:35:28,          0.100,
                               10.5.3.2,                              10.5.15.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          5.000,
