                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:12,2013/08/04T17:34:17,          2.400,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:13,2013/08/04T17:35:05,          0.096,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          2.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:14,2013/08/04T17:34:39,          0.120,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          2.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:16,2013/08/04T17:34:38,          0.182,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:16,2013/08/04T17:34:40,          0.167,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:17,2013/08/04T17:34:17,         11.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:18,2013/08/04T17:34:18,          3.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:19,2013/08/04T17:34:19,          1.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:20,2013/08/04T17:34:30,          0.200,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          4.183,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:23,2013/08/04T17:34:23,          1.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          1.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:26,2013/08/04T17:34:39,          0.154,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:26,2013/08/04T17:35:14,          0.104,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:27,2013/08/04T17:34:28,         11.500,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          1.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:30,2013/08/04T17:34:37,          0.286,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:34,2013/08/04T17:34:35,          2.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          2.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:35,2013/08/04T17:35:15,          0.125,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:35,2013/08/04T17:35:18,          0.116,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          1.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:37,2013/08/04T17:34:57,          0.200,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:37,2013/08/04T17:35:07,          0.133,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:37,2013/08/04T17:35:12,          0.143,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:39,2013/08/04T17:34:39,         12.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:40,2013/08/04T17:34:40,          1.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:41,2013/08/04T17:35:06,          0.160,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:42,2013/08/04T17:34:50,         11.500,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:43,2013/08/04T17:34:48,         17.800,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          2.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:50,2013/08/04T17:34:51,          9.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:50,2013/08/04T17:35:20,          0.133,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:51,2013/08/04T17:34:51,          6.000,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:51,2013/08/04T17:35:25,          0.147,
                               10.5.3.2,                              10.5.20.2,2013/08/04T17:34:52,2013/08/04T17:35:21,          0.138,
