                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          6.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:12,2013/08/04T17:34:17,         18.400,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          9.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:13,2013/08/04T17:34:38,          0.120,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:14,2013/08/04T17:34:52,          0.105,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:14,2013/08/04T17:34:59,          0.111,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:15,2013/08/04T17:34:37,          0.091,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          7.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          3.010,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          8.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:22,2013/08/04T17:35:09,          0.064,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:26,2013/08/04T17:35:01,          0.143,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:28,2013/08/04T17:34:28,         10.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          5.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:30,2013/08/04T17:34:43,          0.154,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:31,2013/08/04T17:34:31,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:36,2013/08/04T17:34:37,         22.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:37,2013/08/04T17:34:46,          0.222,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          7.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:39,2013/08/04T17:35:05,          0.192,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:40,2013/08/04T17:34:40,          3.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:40,2013/08/04T17:34:41,         27.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:40,2013/08/04T17:35:10,          0.133,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:42,2013/08/04T17:34:42,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:42,2013/08/04T17:34:46,         29.250,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:43,2013/08/04T17:34:43,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:43,2013/08/04T17:34:59,          5.250,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:44,2013/08/04T17:34:44,         10.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:45,2013/08/04T17:34:45,         10.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:46,2013/08/04T17:34:46,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:48,2013/08/04T17:34:52,          0.500,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:49,2013/08/04T17:34:49,          9.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:49,2013/08/04T17:35:07,          0.222,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:51,2013/08/04T17:34:51,          4.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:52,2013/08/04T17:34:52,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:59,2013/08/04T17:34:59,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:59,2013/08/04T17:35:00,          9.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:34:59,2013/08/04T17:35:22,          0.174,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:00,2013/08/04T17:35:33,          0.121,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:01,2013/08/04T17:35:28,          0.148,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:02,2013/08/04T17:35:19,          0.118,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:03,2013/08/04T17:35:05,         58.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:03,2013/08/04T17:35:30,          0.148,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:04,2013/08/04T17:35:18,          6.929,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:04,2013/08/04T17:35:19,          3.689,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:04,2013/08/04T17:35:20,          7.375,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:04,2013/08/04T17:35:23,          4.895,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:04,2013/08/04T17:35:25,          1.905,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:04,2013/08/04T17:35:34,          0.133,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:06,2013/08/04T17:35:08,        386.500,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:08,2013/08/04T17:35:08,         18.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:09,2013/08/04T17:35:09,          4.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:11,2013/08/04T17:35:11,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:15,2013/08/04T17:35:15,          8.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:15,2013/08/04T17:35:45,          0.133,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:16,2013/08/04T17:35:47,          0.129,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:17,2013/08/04T17:35:49,          0.094,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:18,2013/08/04T17:35:18,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:19,2013/08/04T17:35:19,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:20,2013/08/04T17:35:50,          0.133,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:21,2013/08/04T17:35:22,        770.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:27,2013/08/04T17:35:27,          5.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:27,2013/08/04T17:35:47,          4.375,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:28,2013/08/04T17:35:28,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:28,2013/08/04T17:35:47,          4.263,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:30,2013/08/04T17:35:30,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:33,2013/08/04T17:35:33,          9.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:34,2013/08/04T17:35:34,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:34,2013/08/04T17:35:35,          4.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:35,2013/08/04T17:35:35,          5.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:35,2013/08/04T17:36:29,          0.074,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:37,2013/08/04T17:35:37,          6.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:39,2013/08/04T17:35:39,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:40,2013/08/04T17:35:41,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:42,2013/08/04T17:35:42,          3.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:43,2013/08/04T17:35:43,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:44,2013/08/04T17:35:44,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:47,2013/08/04T17:35:47,          1.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:48,2013/08/04T17:35:48,          2.000,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:49,2013/08/04T17:36:09,          0.575,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:49,2013/08/04T17:36:49,          0.067,
                               10.5.3.2,                               10.5.6.2,2013/08/04T17:35:50,2013/08/04T17:35:50,          8.000,
