                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:12,2013/08/04T17:34:40,          0.107,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:12,2013/08/04T17:34:42,        112.833,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:13,2013/08/04T17:34:16,        252.667,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:14,2013/08/04T17:35:06,          0.096,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:15,2013/08/04T17:35:01,          0.109,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:17,2013/08/04T17:34:17,         11.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:17,2013/08/04T17:34:41,          0.083,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:19,2013/08/04T17:34:19,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          3.850,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:20,2013/08/04T17:34:45,          0.160,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:22,2013/08/04T17:34:40,          0.111,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          5.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:26,2013/08/04T17:34:27,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:27,2013/08/04T17:34:59,          0.156,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:28,2013/08/04T17:34:28,          6.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:28,2013/08/04T17:34:52,          0.167,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:29,2013/08/04T17:34:32,        180.333,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:29,2013/08/04T17:35:09,          0.125,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:30,2013/08/04T17:34:39,          0.222,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:31,2013/08/04T17:34:31,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:31,2013/08/04T17:35:08,          0.135,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:35,2013/08/04T17:35:20,          0.111,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          5.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:37,2013/08/04T17:34:41,          0.500,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:38,2013/08/04T17:34:38,          3.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:39,2013/08/04T17:35:11,          0.156,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:40,2013/08/04T17:34:40,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:41,2013/08/04T17:34:41,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:41,2013/08/04T17:35:01,          0.100,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:41,2013/08/04T17:35:07,          0.192,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:42,2013/08/04T17:34:46,         28.250,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:42,2013/08/04T17:34:47,         18.800,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:42,2013/08/04T17:35:04,          3.182,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:42,2013/08/04T17:35:07,          0.160,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:43,2013/08/04T17:34:51,         13.750,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:43,2013/08/04T17:34:53,         11.200,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:43,2013/08/04T17:35:16,          0.121,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:45,2013/08/04T17:34:49,        192.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:46,2013/08/04T17:34:46,          5.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:48,2013/08/04T17:34:57,          0.222,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:48,2013/08/04T17:35:18,          0.133,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:49,2013/08/04T17:34:49,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:49,2013/08/04T17:34:53,        193.750,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:50,2013/08/04T17:34:50,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:53,2013/08/04T17:34:53,          8.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:56,2013/08/04T17:34:57,          4.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:57,2013/08/04T17:34:57,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:58,2013/08/04T17:35:22,          0.167,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:34:59,2013/08/04T17:34:59,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:00,2013/08/04T17:35:20,          0.250,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:00,2013/08/04T17:35:45,          0.111,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:02,2013/08/04T17:35:51,          0.082,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:04,2013/08/04T17:35:07,         20.667,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:04,2013/08/04T17:35:12,         11.375,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:04,2013/08/04T17:35:21,          0.647,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:05,2013/08/04T17:35:12,         13.714,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:06,2013/08/04T17:35:06,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:07,2013/08/04T17:35:07,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:07,2013/08/04T17:35:10,         80.667,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:08,2013/08/04T17:35:08,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:09,2013/08/04T17:35:09,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:09,2013/08/04T17:35:39,          0.133,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:10,2013/08/04T17:35:40,          0.133,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:11,2013/08/04T17:35:11,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:11,2013/08/04T17:35:39,          0.107,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:11,2013/08/04T17:35:41,          0.133,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:12,2013/08/04T17:35:12,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:14,2013/08/04T17:35:15,          5.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:15,2013/08/04T17:35:15,         10.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:15,2013/08/04T17:35:44,          0.103,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:15,2013/08/04T17:35:45,          0.100,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:16,2013/08/04T17:35:16,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:17,2013/08/04T17:36:06,          0.082,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:20,2013/08/04T17:35:20,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:21,2013/08/04T17:36:06,          0.089,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:27,2013/08/04T17:35:47,          3.575,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:27,2013/08/04T17:36:27,          0.300,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:30,2013/08/04T17:35:30,         46.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:30,2013/08/04T17:36:07,          0.108,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:34,2013/08/04T17:35:34,          5.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:35,2013/08/04T17:35:35,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:35,2013/08/04T17:36:22,          0.085,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:37,2013/08/04T17:36:06,          0.103,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:40,2013/08/04T17:35:40,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:41,2013/08/04T17:35:41,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:45,2013/08/04T17:35:45,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:46,2013/08/04T17:35:46,          3.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:48,2013/08/04T17:35:48,          3.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:48,2013/08/04T17:36:10,          0.136,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:48,2013/08/04T17:36:25,          0.081,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:48,2013/08/04T17:36:28,          0.100,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:48,2013/08/04T17:36:30,          0.095,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:49,2013/08/04T17:35:49,          3.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:49,2013/08/04T17:36:09,          0.850,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:35:51,2013/08/04T17:35:51,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:05,2013/08/04T17:36:05,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:06,2013/08/04T17:36:06,          4.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:06,2013/08/04T17:36:08,          4.750,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:07,2013/08/04T17:36:07,          9.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:09,2013/08/04T17:36:09,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:22,2013/08/04T17:36:22,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:23,2013/08/04T17:36:46,          0.087,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:23,2013/08/04T17:36:48,          0.160,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:25,2013/08/04T17:36:25,          6.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:27,2013/08/04T17:36:27,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:27,2013/08/04T17:37:10,          0.116,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:28,2013/08/04T17:36:28,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:28,2013/08/04T17:36:36,          0.250,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:28,2013/08/04T17:37:09,          0.122,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:29,2013/08/04T17:36:44,          0.133,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:29,2013/08/04T17:36:57,          0.107,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:29,2013/08/04T17:37:16,          0.106,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:30,2013/08/04T17:36:30,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:30,2013/08/04T17:37:08,          0.132,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:31,2013/08/04T17:36:31,          9.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:31,2013/08/04T17:37:24,          0.094,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:34,2013/08/04T17:36:40,          0.500,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:35,2013/08/04T17:36:35,          2.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:35,2013/08/04T17:36:54,          2.105,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:36,2013/08/04T17:36:36,          3.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:39,2013/08/04T17:36:54,          2.400,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:39,2013/08/04T17:37:02,          0.087,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:40,2013/08/04T17:36:54,          3.786,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:41,2013/08/04T17:37:16,          0.114,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:43,2013/08/04T17:36:52,          0.222,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:43,2013/08/04T17:37:02,          0.105,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:43,2013/08/04T17:37:13,          0.133,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:44,2013/08/04T17:36:44,          1.000,
                               10.5.3.2,                               10.5.7.2,2013/08/04T17:36:46,2013/08/04T17:36:46,          1.000,
