                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:12,2013/08/04T17:39:12,        152.220,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:14,2013/08/04T17:34:15,          9.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:14,2013/08/04T17:34:36,          0.227,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:14,2013/08/04T17:34:44,          0.133,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:15,2013/08/04T17:34:38,          0.174,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:16,2013/08/04T17:34:16,         20.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:16,2013/08/04T17:34:57,          0.098,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          4.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:19,2013/08/04T17:34:19,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          4.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:20,2013/08/04T17:34:30,          0.200,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          1.650,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:20,2013/08/04T17:34:44,          0.500,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          2.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:23,2013/08/04T17:34:23,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:26,2013/08/04T17:34:26,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:26,2013/08/04T17:34:27,         72.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:26,2013/08/04T17:34:29,          0.667,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:26,2013/08/04T17:34:37,          0.182,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:26,2013/08/04T17:35:10,          0.114,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:27,2013/08/04T17:34:58,          0.129,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:28,2013/08/04T17:34:28,         18.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:29,2013/08/04T17:34:29,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          6.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:30,2013/08/04T17:35:20,          0.100,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:31,2013/08/04T17:34:31,          5.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:34,2013/08/04T17:34:34,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:35,2013/08/04T17:35:30,          0.091,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          2.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:38,2013/08/04T17:34:38,          6.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:39,2013/08/04T17:34:39,          7.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:39,2013/08/04T17:35:13,          0.118,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:40,2013/08/04T17:34:40,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:40,2013/08/04T17:35:01,          0.190,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:43,2013/08/04T17:34:44,          9.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:43,2013/08/04T17:34:46,         43.333,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:43,2013/08/04T17:35:12,          0.172,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:44,2013/08/04T17:34:44,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:44,2013/08/04T17:34:45,          9.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:49,2013/08/04T17:35:44,          0.091,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:50,2013/08/04T17:35:11,          0.190,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:51,2013/08/04T17:34:51,          6.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:52,2013/08/04T17:35:22,          0.133,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:53,2013/08/04T17:35:34,          0.098,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:57,2013/08/04T17:34:57,          7.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:58,2013/08/04T17:34:58,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:34:59,2013/08/04T17:35:00,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:01,2013/08/04T17:35:01,          5.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:01,2013/08/04T17:35:30,          0.138,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:02,2013/08/04T17:35:02,          4.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:03,2013/08/04T17:35:03,          5.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:04,2013/08/04T17:35:19,          4.733,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:04,2013/08/04T17:35:23,          2.526,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:04,2013/08/04T17:35:28,          0.208,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:05,2013/08/04T17:35:06,         94.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:06,2013/08/04T17:35:06,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:06,2013/08/04T17:35:36,          0.133,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:07,2013/08/04T17:35:07,          9.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:10,2013/08/04T17:35:10,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:10,2013/08/04T17:35:33,          0.217,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:10,2013/08/04T17:35:39,          0.138,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:11,2013/08/04T17:36:07,          0.071,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:12,2013/08/04T17:35:12,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:14,2013/08/04T17:35:15,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:16,2013/08/04T17:35:46,          0.133,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:20,2013/08/04T17:35:20,          1.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:26,2013/08/04T17:36:25,          0.068,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:27,2013/08/04T17:35:27,          3.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:27,2013/08/04T17:35:47,          4.075,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:28,2013/08/04T17:35:28,          6.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:28,2013/08/04T17:35:50,          0.136,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:29,2013/08/04T17:35:30,        276.000,
                               10.5.3.2,                               10.5.2.2,2013/08/04T17:35:30,2013/08/04T17:35:30,          1.000,
