                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:12,2013/08/04T17:34:22,          0.200,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:12,2013/08/04T17:34:42,          0.100,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:13,2013/08/04T17:34:43,          0.133,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:13,2013/08/04T17:34:53,          0.125,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:14,2013/08/04T17:34:30,          0.125,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:17,2013/08/04T17:34:17,          5.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          2.475,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:20,2013/08/04T17:34:43,          0.174,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          3.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:22,2013/08/04T17:34:45,          0.087,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:26,2013/08/04T17:34:26,         11.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:26,2013/08/04T17:35:00,          0.147,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:26,2013/08/04T17:35:07,          0.122,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:28,2013/08/04T17:35:01,          0.152,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:29,2013/08/04T17:34:41,          0.167,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:29,2013/08/04T17:34:59,         17.167,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:30,2013/08/04T17:34:30,         19.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:30,2013/08/04T17:35:12,          0.119,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:31,2013/08/04T17:34:53,          0.091,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:34,2013/08/04T17:34:36,         52.500,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:35,2013/08/04T17:34:35,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:35,2013/08/04T17:34:58,          0.130,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:37,2013/08/04T17:34:37,          4.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:38,2013/08/04T17:34:58,          0.200,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:40,2013/08/04T17:34:40,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:41,2013/08/04T17:34:41,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:34:45,        146.333,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:34:46,         26.750,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:34:49,         17.714,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:35:06,          2.583,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:35:19,          0.135,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:42,2013/08/04T17:35:42,          0.033,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:43,2013/08/04T17:35:03,          0.200,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:43,2013/08/04T17:35:12,          0.172,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:43,2013/08/04T17:35:14,          0.129,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:45,2013/08/04T17:34:45,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:45,2013/08/04T17:34:51,         12.833,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:47,2013/08/04T17:34:47,          6.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:48,2013/08/04T17:34:48,         10.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:48,2013/08/04T17:35:01,          0.154,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:49,2013/08/04T17:34:56,          0.286,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:52,2013/08/04T17:34:52,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:53,2013/08/04T17:34:53,          2.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:53,2013/08/04T17:35:35,          0.119,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:56,2013/08/04T17:34:56,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:57,2013/08/04T17:34:57,          7.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:58,2013/08/04T17:34:58,          6.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:58,2013/08/04T17:35:01,        258.333,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:34:59,2013/08/04T17:34:59,         17.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:00,2013/08/04T17:35:00,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:00,2013/08/04T17:35:21,          0.190,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:01,2013/08/04T17:35:01,         16.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:01,2013/08/04T17:35:34,          0.121,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:03,2013/08/04T17:35:48,          0.311,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:05,2013/08/04T17:35:07,         56.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:06,2013/08/04T17:35:06,          4.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:07,2013/08/04T17:35:07,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:09,2013/08/04T17:35:39,          0.133,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:11,2013/08/04T17:35:42,          0.097,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:12,2013/08/04T17:35:12,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:14,2013/08/04T17:35:14,          1.000,
                               10.5.3.2,                              10.5.16.2,2013/08/04T17:35:15,2013/08/04T17:35:15,          7.000,
