                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          2.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:12,2013/08/04T17:34:17,         15.600,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:13,2013/08/04T17:34:40,          0.111,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:14,2013/08/04T17:34:14,          4.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:14,2013/08/04T17:34:53,          0.128,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:15,2013/08/04T17:34:15,          7.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:15,2013/08/04T17:34:53,          0.132,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:16,2013/08/04T17:34:16,          9.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:17,2013/08/04T17:34:17,         12.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:17,2013/08/04T17:34:48,          0.129,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:17,2013/08/04T17:35:34,          0.026,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          2.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          4.583,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:34:43,          0.174,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:20,2013/08/04T17:35:20,          0.167,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:21,2013/08/04T17:34:26,         43.800,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:22,2013/08/04T17:34:22,          8.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:22,2013/08/04T17:34:38,          0.125,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:26,2013/08/04T17:34:26,         13.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:26,2013/08/04T17:34:50,          0.167,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:26,2013/08/04T17:34:57,          0.129,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:26,2013/08/04T17:35:15,          0.102,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:27,2013/08/04T17:35:03,          0.139,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:27,2013/08/04T17:35:14,          0.106,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:28,2013/08/04T17:35:09,          0.122,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:36,2013/08/04T17:35:04,          0.143,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:37,2013/08/04T17:35:06,          0.138,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:38,2013/08/04T17:34:38,          1.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:39,2013/08/04T17:34:39,         15.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:40,2013/08/04T17:35:08,          0.179,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:41,2013/08/04T17:34:56,          0.133,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:41,2013/08/04T17:35:00,          0.105,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:42,2013/08/04T17:34:48,         23.000,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:42,2013/08/04T17:35:11,          0.138,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:43,2013/08/04T17:34:46,         37.667,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:43,2013/08/04T17:35:09,          0.115,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:43,2013/08/04T17:35:14,          0.129,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:44,2013/08/04T17:35:09,          0.160,
                               10.5.3.2,                               10.5.4.2,2013/08/04T17:34:48,2013/08/04T17:34:48,          1.000,
