                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:12,2013/08/04T17:34:12,          2.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:12,2013/08/04T17:34:44,          0.156,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:13,2013/08/04T17:34:13,          2.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:15,2013/08/04T17:34:30,          0.133,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:15,2013/08/04T17:34:41,          0.154,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:16,2013/08/04T17:34:17,         39.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:16,2013/08/04T17:34:56,          0.125,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:17,2013/08/04T17:34:17,         15.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:19,2013/08/04T17:34:19,          1.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:34:20,          3.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:34:35,          0.133,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:20,2013/08/04T17:34:40,          2.250,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:21,2013/08/04T17:34:21,          2.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:22,2013/08/04T17:34:22,         16.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:22,2013/08/04T17:35:00,          0.132,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:26,2013/08/04T17:34:27,         36.500,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:26,2013/08/04T17:35:00,          0.118,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:27,2013/08/04T17:34:27,          1.000,
                               10.5.3.2,                              10.5.11.2,2013/08/04T17:34:30,2013/08/04T17:34:30,          5.000,
