                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:11,2013/08/04T17:14:19,          5.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:11,2013/08/04T17:14:26,          9.867,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:11,2013/08/04T17:14:29,         13.556,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:13,2013/08/04T17:14:13,          2.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:14,2013/08/04T17:14:14,          5.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:16,2013/08/04T17:14:16,         25.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:16,2013/08/04T17:14:23,          0.857,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:16,2013/08/04T17:14:30,          7.643,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:16,2013/08/04T17:14:51,          0.257,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:17,2013/08/04T17:14:27,          0.400,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:18,2013/08/04T17:14:18,          8.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:19,2013/08/04T17:14:22,         16.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:20,2013/08/04T17:14:46,          8.038,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:21,2013/08/04T17:14:51,         17.833,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:21,2013/08/04T17:14:52,          8.226,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          8.000,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:23,2013/08/04T17:14:28,          9.400,
                              10.5.16.2,                              10.5.18.2,2013/08/04T17:14:25,2013/08/04T17:14:55,          9.267,
