                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:11,          2.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:19,         23.500,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:21,          0.400,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:22,          0.364,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:25,          8.857,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:26,         12.067,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:27,         16.187,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:11,2013/08/04T17:14:28,          6.176,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:12,2013/08/04T17:14:13,         28.500,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:12,2013/08/04T17:14:23,         15.864,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:12,2013/08/04T17:14:28,          5.750,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:13,2013/08/04T17:14:13,          1.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:13,2013/08/04T17:14:25,         10.250,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:14,2013/08/04T17:14:16,          1.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:14,2013/08/04T17:14:31,         11.118,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:16,2013/08/04T17:14:16,          1.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:16,2013/08/04T17:14:17,          2.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:16,2013/08/04T17:14:23,          0.857,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:16,2013/08/04T17:14:51,          0.257,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:17,2013/08/04T17:14:17,          1.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:17,2013/08/04T17:14:21,         11.750,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:18,2013/08/04T17:14:31,         10.077,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:18,2013/08/04T17:14:32,         13.143,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:20,2013/08/04T17:14:50,          8.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:21,2013/08/04T17:14:21,          1.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:21,2013/08/04T17:14:26,          9.600,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:21,2013/08/04T17:14:51,         11.783,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          1.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:22,2013/08/04T17:14:26,         12.125,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:26,2013/08/04T17:14:26,          4.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:28,2013/08/04T17:14:59,          6.806,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:31,2013/08/04T17:15:01,          8.500,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:32,2013/08/04T17:14:32,          6.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:32,2013/08/04T17:14:33,          8.000,
                              10.5.16.2,                              10.5.14.2,2013/08/04T17:14:32,2013/08/04T17:14:45,          0.308,
