                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:11,2013/08/04T17:14:11,         46.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:11,2013/08/04T17:14:18,         25.286,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:11,2013/08/04T17:14:21,         22.850,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:12,2013/08/04T17:14:14,         22.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:12,2013/08/04T17:14:20,         12.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:12,2013/08/04T17:14:21,          5.222,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:12,2013/08/04T17:14:28,          6.063,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:13,2013/08/04T17:14:31,         10.083,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:14,2013/08/04T17:14:14,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:15,2013/08/04T17:14:19,         12.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:15,2013/08/04T17:14:31,          7.688,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:16,2013/08/04T17:14:23,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:16,2013/08/04T17:14:25,          5.222,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:16,2013/08/04T17:14:32,          6.563,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:17,2013/08/04T17:14:21,         11.750,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:18,2013/08/04T17:14:48,          6.800,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:19,2013/08/04T17:14:19,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:19,2013/08/04T17:14:22,          0.667,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:19,2013/08/04T17:14:49,         10.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:19,2013/08/04T17:14:50,          9.613,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:20,2013/08/04T17:14:30,          4.600,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:20,2013/08/04T17:14:50,         12.833,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:21,2013/08/04T17:14:22,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:21,2013/08/04T17:14:32,          0.364,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:21,2013/08/04T17:14:51,          6.200,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:24,2013/08/04T17:14:25,         13.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:25,2013/08/04T17:14:25,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:26,2013/08/04T17:14:26,          5.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:26,2013/08/04T17:14:28,          8.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:26,2013/08/04T17:14:56,         13.967,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:27,2013/08/04T17:14:57,          3.700,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:28,2013/08/04T17:14:34,          7.667,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:28,2013/08/04T17:14:36,          5.750,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:30,2013/08/04T17:14:30,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:32,2013/08/04T17:14:32,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:34,2013/08/04T17:14:34,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:34,2013/08/04T17:14:41,          6.714,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:35,2013/08/04T17:14:42,          6.571,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:35,2013/08/04T17:15:05,          6.933,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:36,2013/08/04T17:14:36,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:36,2013/08/04T17:15:09,         10.424,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:37,2013/08/04T17:14:53,          3.125,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:38,2013/08/04T17:14:45,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:38,2013/08/04T17:15:15,          0.243,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:40,2013/08/04T17:14:41,          6.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:41,2013/08/04T17:14:41,          7.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:42,2013/08/04T17:14:42,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:42,2013/08/04T17:14:48,          7.833,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:42,2013/08/04T17:14:53,          4.636,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:43,2013/08/04T17:14:48,          9.400,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:43,2013/08/04T17:14:55,          4.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:46,2013/08/04T17:14:54,          6.250,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:47,2013/08/04T17:14:55,          5.125,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:48,2013/08/04T17:14:48,         10.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:49,2013/08/04T17:15:19,          8.300,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:50,2013/08/04T17:14:57,          7.143,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:50,2013/08/04T17:15:11,          2.143,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:51,2013/08/04T17:15:21,          2.467,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:53,2013/08/04T17:14:53,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:54,2013/08/04T17:14:54,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:54,2013/08/04T17:15:24,         19.133,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:55,2013/08/04T17:14:55,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:55,2013/08/04T17:14:58,         15.333,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:57,2013/08/04T17:14:57,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:57,2013/08/04T17:15:01,         11.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:58,2013/08/04T17:14:58,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:58,2013/08/04T17:15:09,          4.273,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:59,2013/08/04T17:15:01,          4.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:14:59,2013/08/04T17:15:06,          5.286,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:01,2013/08/04T17:15:01,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:01,2013/08/04T17:15:05,         11.750,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:01,2013/08/04T17:15:06,          9.400,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:01,2013/08/04T17:15:08,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:02,2013/08/04T17:15:32,          4.044,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:02,2013/08/04T17:15:33,          4.097,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:03,2013/08/04T17:15:10,          7.286,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:04,2013/08/04T17:15:10,          7.833,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:05,2013/08/04T17:15:05,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:06,2013/08/04T17:15:06,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:07,2013/08/04T17:15:12,          9.200,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:09,2013/08/04T17:15:09,          9.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:09,2013/08/04T17:15:17,         95.125,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:09,2013/08/04T17:15:22,          3.846,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:10,2013/08/04T17:15:10,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:12,2013/08/04T17:15:12,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:14,2013/08/04T17:15:20,          8.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:16,2013/08/04T17:15:16,         45.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:16,2013/08/04T17:15:17,          9.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:17,2013/08/04T17:15:17,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:19,2013/08/04T17:15:49,         19.200,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:20,2013/08/04T17:15:20,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:21,2013/08/04T17:15:27,          8.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:22,2013/08/04T17:15:22,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:23,2013/08/04T17:15:30,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:23,2013/08/04T17:15:53,         15.800,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:23,2013/08/04T17:15:59,          0.250,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:24,2013/08/04T17:15:29,          9.200,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:24,2013/08/04T17:15:30,         11.167,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:24,2013/08/04T17:15:54,          2.833,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:25,2013/08/04T17:15:32,          6.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:25,2013/08/04T17:15:34,          5.556,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:27,2013/08/04T17:15:27,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:28,2013/08/04T17:15:35,          6.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:28,2013/08/04T17:15:36,          6.125,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:29,2013/08/04T17:15:29,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:29,2013/08/04T17:15:36,          6.714,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:29,2013/08/04T17:15:38,          5.222,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:30,2013/08/04T17:15:30,         28.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:30,2013/08/04T17:16:00,          2.667,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:32,2013/08/04T17:15:32,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:33,2013/08/04T17:15:34,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:33,2013/08/04T17:16:27,          8.148,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:34,2013/08/04T17:15:34,          3.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:34,2013/08/04T17:16:05,         12.774,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:34,2013/08/04T17:16:34,          1.767,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:35,2013/08/04T17:15:35,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:36,2013/08/04T17:15:36,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:37,2013/08/04T17:15:37,         10.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:38,2013/08/04T17:15:38,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:38,2013/08/04T17:15:39,          6.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:39,2013/08/04T17:15:51,          4.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:40,2013/08/04T17:15:51,          0.364,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:44,2013/08/04T17:15:56,          0.417,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:46,2013/08/04T17:15:53,          0.714,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:47,2013/08/04T17:15:55,          5.750,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:48,2013/08/04T17:15:48,          6.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:51,2013/08/04T17:15:51,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:51,2013/08/04T17:16:21,         12.600,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:55,2013/08/04T17:15:55,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:56,2013/08/04T17:15:56,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:56,2013/08/04T17:16:08,          0.333,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:57,2013/08/04T17:16:04,          4.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:15:58,2013/08/04T17:16:12,          0.286,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:00,2013/08/04T17:16:06,          7.667,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:02,2013/08/04T17:16:32,          9.533,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:03,2013/08/04T17:16:33,          0.100,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:04,2013/08/04T17:16:04,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:06,2013/08/04T17:16:06,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:06,2013/08/04T17:16:33,          3.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:08,2013/08/04T17:16:08,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:08,2013/08/04T17:16:15,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:09,2013/08/04T17:16:09,          8.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:10,2013/08/04T17:16:10,         13.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:12,2013/08/04T17:16:12,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:14,2013/08/04T17:16:22,          5.875,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:17,2013/08/04T17:16:23,          5.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:18,2013/08/04T17:16:49,          5.419,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:22,2013/08/04T17:16:22,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:22,2013/08/04T17:16:30,          5.875,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:23,2013/08/04T17:16:30,          5.143,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:24,2013/08/04T17:16:30,         11.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:24,2013/08/04T17:16:34,          0.600,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:24,2013/08/04T17:16:56,          4.281,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:29,2013/08/04T17:16:59,          6.667,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:29,2013/08/04T17:17:00,          3.774,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:30,2013/08/04T17:16:30,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:30,2013/08/04T17:16:36,          6.167,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:30,2013/08/04T17:16:40,          0.400,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:30,2013/08/04T17:17:01,          6.871,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:31,2013/08/04T17:17:07,          0.250,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:32,2013/08/04T17:17:02,         12.300,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:35,2013/08/04T17:17:05,          5.167,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:36,2013/08/04T17:16:43,          5.286,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:37,2013/08/04T17:16:37,         18.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:38,2013/08/04T17:16:38,          5.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:38,2013/08/04T17:17:08,          6.467,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:39,2013/08/04T17:16:47,          5.875,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:40,2013/08/04T17:16:40,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:41,2013/08/04T17:16:45,         11.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:43,2013/08/04T17:16:59,          3.063,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:45,2013/08/04T17:16:45,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:47,2013/08/04T17:16:48,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:49,2013/08/04T17:16:51,         72.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:50,2013/08/04T17:16:59,          5.556,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:51,2013/08/04T17:16:57,          7.917,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:51,2013/08/04T17:17:01,          5.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:54,2013/08/04T17:17:01,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:54,2013/08/04T17:17:08,          3.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:55,2013/08/04T17:17:05,          4.700,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:55,2013/08/04T17:17:25,          4.700,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:55,2013/08/04T17:17:27,          4.844,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:56,2013/08/04T17:16:57,          6.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:57,2013/08/04T17:16:57,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:16:59,2013/08/04T17:16:59,          2.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:00,2013/08/04T17:17:00,          9.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:01,2013/08/04T17:17:01,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:01,2013/08/04T17:17:02,         13.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:02,2013/08/04T17:17:02,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:02,2013/08/04T17:17:03,         16.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:02,2013/08/04T17:17:33,          9.355,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:03,2013/08/04T17:17:33,          7.450,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:03,2013/08/04T17:17:34,          0.161,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:04,2013/08/04T17:17:04,         13.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:04,2013/08/04T17:17:35,          4.323,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:04,2013/08/04T17:17:41,          7.649,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:05,2013/08/04T17:17:05,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:06,2013/08/04T17:17:16,          0.400,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:08,2013/08/04T17:17:08,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:08,2013/08/04T17:17:10,        391.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:10,2013/08/04T17:17:10,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:13,2013/08/04T17:17:21,          5.750,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:13,2013/08/04T17:17:22,          5.333,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:16,2013/08/04T17:17:16,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:16,2013/08/04T17:17:23,          0.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:17,2013/08/04T17:17:17,          6.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:17,2013/08/04T17:17:24,          6.857,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:18,2013/08/04T17:17:19,         13.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:18,2013/08/04T17:17:22,         11.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:21,2013/08/04T17:17:21,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:22,2013/08/04T17:17:22,         33.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:23,2013/08/04T17:17:53,         13.833,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:24,2013/08/04T17:17:24,          1.000,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:24,2013/08/04T17:17:54,         14.500,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:25,2013/08/04T17:17:55,          8.767,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:26,2013/08/04T17:17:56,         13.100,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:32,2013/08/04T17:18:02,         12.267,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:33,2013/08/04T17:17:46,          3.769,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:33,2013/08/04T17:18:03,          4.650,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:34,2013/08/04T17:17:45,          4.455,
                              10.5.16.2,                               10.5.2.2,2013/08/04T17:17:34,2013/08/04T17:18:04,         10.067,
