                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:11,2013/08/04T17:14:13,         60.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:11,2013/08/04T17:14:21,         14.200,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:11,2013/08/04T17:14:27,         16.062,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:11,2013/08/04T17:14:29,         12.444,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:11,2013/08/04T17:14:41,          5.933,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:11,2013/08/04T17:14:56,          0.178,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:12,2013/08/04T17:14:13,         89.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:12,2013/08/04T17:14:20,         17.750,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:13,2013/08/04T17:14:27,         12.857,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:15,2013/08/04T17:14:16,          2.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:16,2013/08/04T17:14:16,          1.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:16,2013/08/04T17:14:51,          0.257,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:17,2013/08/04T17:14:17,          6.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:17,2013/08/04T17:14:47,         17.167,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:18,2013/08/04T17:14:21,         15.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:18,2013/08/04T17:14:27,          5.222,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:19,2013/08/04T17:14:30,         15.182,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:21,2013/08/04T17:14:21,          1.000,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:21,2013/08/04T17:14:32,          0.364,
                              10.5.16.2,                               10.5.9.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          8.000,
