                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:11,2013/08/04T17:14:11,         29.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:11,2013/08/04T17:14:14,         15.667,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:11,2013/08/04T17:14:18,          6.714,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:11,2013/08/04T17:14:22,         14.545,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:11,2013/08/04T17:14:31,         17.250,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:12,2013/08/04T17:14:28,          7.938,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:13,2013/08/04T17:14:29,          1.250,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:14,2013/08/04T17:14:14,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:14,2013/08/04T17:14:16,          1.500,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:14,2013/08/04T17:14:27,          3.846,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:16,2013/08/04T17:14:16,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:16,2013/08/04T17:14:23,          0.857,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:16,2013/08/04T17:14:31,          5.533,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:17,2013/08/04T17:14:22,          9.600,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:17,2013/08/04T17:14:47,          8.700,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:18,2013/08/04T17:14:18,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:18,2013/08/04T17:14:49,         15.774,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:19,2013/08/04T17:14:21,         23.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:20,2013/08/04T17:14:30,         22.500,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:20,2013/08/04T17:14:50,          7.500,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:21,2013/08/04T17:14:21,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:22,2013/08/04T17:14:22,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:22,2013/08/04T17:14:27,          9.400,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:26,2013/08/04T17:14:56,          4.267,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:27,2013/08/04T17:14:27,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:28,2013/08/04T17:14:36,          5.875,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:28,2013/08/04T17:14:58,         13.267,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:30,2013/08/04T17:14:42,          0.333,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:30,2013/08/04T17:15:00,         14.033,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:32,2013/08/04T17:14:32,          9.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:32,2013/08/04T17:15:02,         11.067,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:34,2013/08/04T17:15:04,          3.367,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:35,2013/08/04T17:14:43,          6.125,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:35,2013/08/04T17:14:46,          0.364,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:35,2013/08/04T17:15:06,         10.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:36,2013/08/04T17:14:36,          1.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:36,2013/08/04T17:14:47,          0.455,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:38,2013/08/04T17:14:45,          0.857,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:41,2013/08/04T17:14:41,         11.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:41,2013/08/04T17:14:42,          7.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:41,2013/08/04T17:14:43,          8.000,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:41,2013/08/04T17:14:44,          1.667,
                              10.5.16.2,                              10.5.17.2,2013/08/04T17:14:42,2013/08/04T17:14:42,          1.000,
