                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:11,2013/08/04T17:14:32,         19.381,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:12,2013/08/04T17:14:14,          1.500,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:12,2013/08/04T17:14:24,          4.333,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:13,2013/08/04T17:14:15,         21.500,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:14,2013/08/04T17:14:14,          2.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:15,2013/08/04T17:14:20,          6.800,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:16,2013/08/04T17:14:16,          2.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:16,2013/08/04T17:14:23,          0.857,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:16,2013/08/04T17:14:27,          0.455,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:16,2013/08/04T17:14:46,          6.933,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:17,2013/08/04T17:14:21,         11.750,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:17,2013/08/04T17:14:22,          9.600,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:18,2013/08/04T17:14:30,          4.167,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:18,2013/08/04T17:14:48,         10.100,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:19,2013/08/04T17:14:24,          9.600,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:19,2013/08/04T17:14:49,          9.800,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:20,2013/08/04T17:14:51,          3.581,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:21,2013/08/04T17:14:21,         12.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:22,2013/08/04T17:14:22,         14.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:22,2013/08/04T17:14:33,          4.455,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:22,2013/08/04T17:14:52,         13.833,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:23,2013/08/04T17:14:28,          9.200,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:24,2013/08/04T17:14:24,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:24,2013/08/04T17:14:25,         44.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:24,2013/08/04T17:14:30,          6.500,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:25,2013/08/04T17:14:25,         13.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:25,2013/08/04T17:14:27,        121.500,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:26,2013/08/04T17:14:31,          8.800,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:27,2013/08/04T17:14:27,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:27,2013/08/04T17:14:57,         19.267,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:28,2013/08/04T17:14:28,          2.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:28,2013/08/04T17:14:34,          7.667,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:30,2013/08/04T17:14:30,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:31,2013/08/04T17:14:31,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:31,2013/08/04T17:14:49,          2.667,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:32,2013/08/04T17:14:39,          6.714,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          4.517,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:33,2013/08/04T17:14:33,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:34,2013/08/04T17:14:34,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:34,2013/08/04T17:14:43,          5.444,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:35,2013/08/04T17:15:05,         10.367,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:36,2013/08/04T17:14:46,          4.600,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:37,2013/08/04T17:14:39,         65.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:38,2013/08/04T17:14:45,          0.857,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:38,2013/08/04T17:15:15,          0.243,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:39,2013/08/04T17:14:39,          1.000,
                              10.5.16.2,                               10.5.4.2,2013/08/04T17:14:40,2013/08/04T17:14:50,          0.400,
