                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:11,2013/08/04T17:14:18,         25.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:11,2013/08/04T17:14:20,         31.333,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:11,2013/08/04T17:14:26,         28.733,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:11,2013/08/04T17:14:31,         23.100,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:13,2013/08/04T17:14:31,         12.056,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:14,2013/08/04T17:14:15,         22.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:14,2013/08/04T17:14:29,          5.133,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:15,2013/08/04T17:14:15,          1.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:16,2013/08/04T17:14:51,          0.257,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:16,2013/08/04T17:14:52,          0.250,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:17,2013/08/04T17:14:17,          2.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:17,2013/08/04T17:14:21,         12.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:17,2013/08/04T17:14:47,          8.400,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:18,2013/08/04T17:14:18,          7.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:19,2013/08/04T17:14:24,          1.200,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:19,2013/08/04T17:14:32,         18.846,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:20,2013/08/04T17:14:49,         15.793,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:21,2013/08/04T17:14:21,          1.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:21,2013/08/04T17:14:51,          6.733,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:22,2013/08/04T17:14:30,          5.875,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:22,2013/08/04T17:14:52,          8.767,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:24,2013/08/04T17:14:24,          2.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:25,2013/08/04T17:14:55,         22.133,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:29,2013/08/04T17:14:59,         16.367,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:30,2013/08/04T17:14:30,          1.000,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:30,2013/08/04T17:14:43,          0.308,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:30,2013/08/04T17:15:00,          6.683,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:31,2013/08/04T17:15:06,          3.971,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:32,2013/08/04T17:15:02,          8.550,
                              10.5.16.2,                              10.5.11.2,2013/08/04T17:14:33,2013/08/04T17:15:03,         10.067,
