                               10.5.9.2,                              10.5.19.2,2013/08/04T19:21:13,2013/08/04T19:21:13,         13.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T19:21:49,2013/08/04T19:21:49,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T19:22:02,2013/08/04T19:22:02,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T19:22:31,2013/08/04T19:22:31,          6.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T19:22:32,2013/08/04T19:23:10,          0.026,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:24,2013/08/04T18:24:24,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:25,2013/08/04T18:24:25,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:25,2013/08/04T18:24:35,          0.300,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:26,2013/08/04T18:25:21,          0.091,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:32,2013/08/04T18:25:27,          0.055,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:34,2013/08/04T18:24:34,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:35,2013/08/04T18:24:49,          5.179,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:39,2013/08/04T18:25:38,          0.085,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:40,2013/08/04T18:25:48,          0.059,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:46,2013/08/04T18:24:46,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:47,2013/08/04T18:24:47,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:51,2013/08/04T18:25:50,          0.051,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:52,2013/08/04T18:24:52,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:57,2013/08/04T18:25:11,          3.714,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:58,2013/08/04T18:25:06,         26.750,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:24:58,2013/08/04T18:25:38,          0.175,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:00,2013/08/04T18:25:00,          8.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:09,2013/08/04T18:25:09,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:15,2013/08/04T18:26:10,          0.073,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:20,2013/08/04T18:25:34,          2.571,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:21,2013/08/04T18:25:21,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:22,2013/08/04T18:25:34,          5.583,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:24,2013/08/04T18:25:34,         11.500,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:26,2013/08/04T18:25:26,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:27,2013/08/04T18:25:27,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:28,2013/08/04T18:25:29,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:32,2013/08/04T18:25:32,          6.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:36,2013/08/04T18:25:36,          8.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:36,2013/08/04T18:25:46,          0.300,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:38,2013/08/04T18:25:38,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:42,2013/08/04T18:26:53,          1.408,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:43,2013/08/04T18:25:53,          0.600,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:43,2013/08/04T18:26:44,          0.262,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:43,2013/08/04T18:27:13,          0.222,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:47,2013/08/04T18:25:47,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:48,2013/08/04T18:25:48,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:50,2013/08/04T18:25:50,         15.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:52,2013/08/04T18:25:52,          8.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:53,2013/08/04T18:25:53,          8.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:25:54,2013/08/04T18:25:54,         12.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:05,2013/08/04T18:26:12,          0.857,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:05,2013/08/04T18:26:24,          0.368,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:10,2013/08/04T18:26:10,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:18,2013/08/04T18:26:18,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:21,2013/08/04T18:26:21,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:26,2013/08/04T18:26:26,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:33,2013/08/04T18:26:33,         12.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:49,2013/08/04T18:26:49,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:50,2013/08/04T18:26:52,          1.500,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:26:50,2013/08/04T18:26:53,          1.200,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:09,2013/08/04T18:27:09,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:12,2013/08/04T18:27:27,          1.800,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:13,2013/08/04T18:27:27,          3.893,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:13,2013/08/04T18:27:29,          0.438,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:14,2013/08/04T18:27:14,          6.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:14,2013/08/04T18:28:08,          0.074,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:22,2013/08/04T18:27:35,         28.846,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:29,2013/08/04T18:27:29,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:32,2013/08/04T18:27:32,         25.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:32,2013/08/04T18:27:37,         42.800,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:35,2013/08/04T18:27:49,          6.143,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:35,2013/08/04T18:27:50,          0.467,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:36,2013/08/04T18:27:36,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:39,2013/08/04T18:27:40,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:48,2013/08/04T18:27:48,          6.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:27:50,2013/08/04T18:27:50,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:00,2013/08/04T18:28:11,          8.182,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:00,2013/08/04T18:29:09,          0.043,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:01,2013/08/04T18:28:11,         11.150,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:02,2013/08/04T18:28:02,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:04,2013/08/04T18:28:04,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:07,2013/08/04T18:28:07,         32.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:08,2013/08/04T18:28:08,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:12,2013/08/04T18:28:12,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:18,2013/08/04T18:28:18,          8.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:20,2013/08/04T18:28:34,          8.679,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:21,2013/08/04T18:28:22,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:31,2013/08/04T18:28:31,         21.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:35,2013/08/04T18:28:35,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:36,2013/08/04T18:28:36,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:38,2013/08/04T18:28:38,          2.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:42,2013/08/04T18:28:56,          5.304,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:28:44,2013/08/04T18:28:46,          4.500,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:01,2013/08/04T18:29:02,        747.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:05,2013/08/04T18:29:19,          7.940,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:05,2013/08/04T18:29:20,          0.567,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:06,2013/08/04T18:29:17,          0.364,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:06,2013/08/04T18:29:22,          0.500,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:09,2013/08/04T18:29:09,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:17,2013/08/04T18:29:17,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:18,2013/08/04T18:29:23,        102.800,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:20,2013/08/04T18:29:20,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T18:29:22,2013/08/04T18:29:22,          7.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:20,2013/08/04T20:40:20,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:29,2013/08/04T20:40:56,          2.889,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:29,2013/08/04T20:40:57,          3.464,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:29,2013/08/04T20:40:58,          3.793,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:30,2013/08/04T20:40:40,          1.900,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:30,2013/08/04T20:40:48,          3.389,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:32,2013/08/04T20:40:39,         32.429,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:33,2013/08/04T20:41:02,          1.448,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:34,2013/08/04T20:40:39,         36.600,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:35,2013/08/04T20:40:35,          3.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:42,2013/08/04T20:40:42,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:50,2013/08/04T20:41:10,          0.400,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:56,2013/08/04T20:41:26,          4.267,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:40:58,2013/08/04T20:41:27,          5.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:01,2013/08/04T20:41:01,          1.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:03,2013/08/04T20:41:22,          1.842,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:03,2013/08/04T20:41:23,          0.100,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:09,2013/08/04T20:41:26,          1.235,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:19,2013/08/04T20:41:27,          5.625,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:19,2013/08/04T20:41:48,          1.517,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:20,2013/08/04T20:41:21,          4.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:20,2013/08/04T20:41:22,          7.000,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:20,2013/08/04T20:41:33,          1.385,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:20,2013/08/04T20:41:45,          4.480,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:21,2013/08/04T20:41:51,          5.933,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:22,2013/08/04T20:41:32,          0.600,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:24,2013/08/04T20:41:51,          4.963,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:25,2013/08/04T20:41:52,          5.185,
                               10.5.9.2,                              10.5.19.2,2013/08/04T20:41:26,2013/08/04T20:41:27,        769.000,
