                               10.5.9.2,                               10.5.7.2,2013/08/04T19:21:24,2013/08/04T19:21:28,          0.500,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:21:50,2013/08/04T19:21:50,          3.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:01,2013/08/04T19:22:01,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:02,2013/08/04T19:22:02,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:19,2013/08/04T19:22:19,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:21,2013/08/04T19:22:21,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:32,2013/08/04T19:23:02,          0.067,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:38,2013/08/04T19:22:38,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:44,2013/08/04T19:22:47,          0.667,
                               10.5.9.2,                               10.5.7.2,2013/08/04T19:22:57,2013/08/04T19:23:00,          0.667,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:26,2013/08/04T18:24:26,          7.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:27,2013/08/04T18:24:27,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:28,2013/08/04T18:24:28,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:31,2013/08/04T18:24:31,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:32,2013/08/04T18:24:32,          9.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:35,2013/08/04T18:24:49,          5.839,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:45,2013/08/04T18:24:45,          6.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:57,2013/08/04T18:24:57,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:57,2013/08/04T18:24:58,        138.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:57,2013/08/04T18:25:11,          5.464,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:57,2013/08/04T18:25:12,          6.800,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:24:58,2013/08/04T18:24:59,         26.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:03,2013/08/04T18:26:11,          0.059,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:04,2013/08/04T18:25:04,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:06,2013/08/04T18:25:06,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:08,2013/08/04T18:25:08,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:08,2013/08/04T18:25:09,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:17,2013/08/04T18:25:17,         13.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:19,2013/08/04T18:25:19,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:20,2013/08/04T18:25:20,         14.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:20,2013/08/04T18:25:34,          3.964,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:22,2013/08/04T18:25:34,          0.250,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:23,2013/08/04T18:25:34,          6.909,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:24,2013/08/04T18:25:24,         12.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:25,2013/08/04T18:25:27,          4.500,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:34,2013/08/04T18:25:39,         42.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:37,2013/08/04T18:25:37,         17.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:42,2013/08/04T18:26:12,          1.100,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:42,2013/08/04T18:26:24,          0.857,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:43,2013/08/04T18:25:53,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:43,2013/08/04T18:25:54,          0.273,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:43,2013/08/04T18:26:23,          0.475,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:51,2013/08/04T18:25:51,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:52,2013/08/04T18:25:52,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:52,2013/08/04T18:26:24,          0.188,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:25:53,2013/08/04T18:25:54,         78.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:05,2013/08/04T18:26:12,          0.857,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:05,2013/08/04T18:26:24,          0.377,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:06,2013/08/04T18:26:06,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:11,2013/08/04T18:26:11,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:12,2013/08/04T18:26:12,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:18,2013/08/04T18:26:18,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:28,2013/08/04T18:26:33,          0.400,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:31,2013/08/04T18:26:31,          7.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:32,2013/08/04T18:26:32,         15.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:34,2013/08/04T18:26:34,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:47,2013/08/04T18:27:47,          0.050,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:48,2013/08/04T18:26:48,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:26:50,2013/08/04T18:26:53,          1.250,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:04,2013/08/04T18:27:13,          1.556,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:12,2013/08/04T18:27:16,         15.750,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:12,2013/08/04T18:27:27,          7.267,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:13,2013/08/04T18:27:27,          1.143,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:13,2013/08/04T18:27:29,          0.625,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:14,2013/08/04T18:27:14,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:29,2013/08/04T18:27:29,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:34,2013/08/04T18:28:04,         22.100,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:35,2013/08/04T18:27:49,          5.375,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:37,2013/08/04T18:27:37,          7.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:43,2013/08/04T18:27:44,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:43,2013/08/04T18:27:46,          2.333,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:47,2013/08/04T18:27:47,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:27:49,2013/08/04T18:27:49,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:00,2013/08/04T18:28:11,          3.364,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:01,2013/08/04T18:28:11,          5.800,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:02,2013/08/04T18:28:11,          7.444,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:02,2013/08/04T18:28:42,         22.200,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:03,2013/08/04T18:28:04,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:05,2013/08/04T18:28:11,          6.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:08,2013/08/04T18:28:08,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:09,2013/08/04T18:28:09,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:14,2013/08/04T18:28:14,         42.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:16,2013/08/04T18:28:16,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:20,2013/08/04T18:28:34,          7.429,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:31,2013/08/04T18:29:01,          1.467,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:32,2013/08/04T18:29:17,          0.267,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:39,2013/08/04T18:28:40,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:42,2013/08/04T18:28:42,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:42,2013/08/04T18:28:56,          5.667,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:44,2013/08/04T18:28:45,         41.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:28:54,2013/08/04T18:28:54,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:01,2013/08/04T18:29:02,         10.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:02,2013/08/04T18:29:20,         35.667,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:05,2013/08/04T18:29:06,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:05,2013/08/04T18:29:19,          4.750,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:06,2013/08/04T18:29:19,          0.692,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:16,2013/08/04T18:29:17,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:17,2013/08/04T18:29:17,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T18:29:19,2013/08/04T18:29:19,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:16,2013/08/04T20:40:16,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:20,2013/08/04T20:40:36,          3.188,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:30,2013/08/04T20:40:31,         17.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:30,2013/08/04T20:40:37,          7.857,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:30,2013/08/04T20:40:38,         16.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:30,2013/08/04T20:40:41,          6.182,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:32,2013/08/04T20:40:32,         38.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:33,2013/08/04T20:40:33,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:34,2013/08/04T20:40:34,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:34,2013/08/04T20:40:35,         11.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:35,2013/08/04T20:40:38,          0.667,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:35,2013/08/04T20:40:42,          1.714,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:38,2013/08/04T20:40:38,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:39,2013/08/04T20:40:39,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:39,2013/08/04T20:40:49,          0.100,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:39,2013/08/04T20:41:08,          0.517,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:40,2013/08/04T20:40:40,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:41,2013/08/04T20:41:09,          0.286,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:42,2013/08/04T20:40:42,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:46,2013/08/04T20:41:06,          0.450,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:56,2013/08/04T20:41:19,          0.217,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:56,2013/08/04T20:41:25,          4.034,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:56,2013/08/04T20:41:26,          0.433,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:57,2013/08/04T20:41:27,          2.367,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:40:58,2013/08/04T20:41:28,          5.533,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:06,2013/08/04T20:41:32,          2.538,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:19,2013/08/04T20:41:44,          7.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:19,2013/08/04T20:41:46,         13.074,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:19,2013/08/04T20:41:49,         19.300,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:22,2013/08/04T20:41:52,          8.400,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:25,2013/08/04T20:41:25,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:26,2013/08/04T20:41:26,          6.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:26,2013/08/04T20:41:58,          5.844,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:32,2013/08/04T20:41:43,          0.636,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:38,2013/08/04T20:41:48,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:42,2013/08/04T20:42:11,         10.793,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:43,2013/08/04T20:41:43,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:44,2013/08/04T20:42:14,          5.900,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:46,2013/08/04T20:42:16,          9.700,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:49,2013/08/04T20:41:50,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:49,2013/08/04T20:42:19,          6.400,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:57,2013/08/04T20:42:26,          3.414,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:57,2013/08/04T20:42:27,          8.100,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:58,2013/08/04T20:41:58,          7.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:58,2013/08/04T20:42:08,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:58,2013/08/04T20:42:28,          6.933,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:41:59,2013/08/04T20:42:09,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:00,2013/08/04T20:42:00,          5.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:01,2013/08/04T20:42:01,          9.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:07,2013/08/04T20:42:36,          3.759,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:10,2013/08/04T20:42:17,          0.714,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:12,2013/08/04T20:42:30,          3.500,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:13,2013/08/04T20:42:13,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:13,2013/08/04T20:42:23,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:17,2013/08/04T20:42:27,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:19,2013/08/04T20:42:22,          3.333,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:21,2013/08/04T20:42:22,          8.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:24,2013/08/04T20:42:55,          5.581,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:26,2013/08/04T20:42:36,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:27,2013/08/04T20:42:37,          0.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:27,2013/08/04T20:42:54,          5.593,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:27,2013/08/04T20:42:55,          5.607,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:28,2013/08/04T20:42:28,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:30,2013/08/04T20:43:00,          8.400,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:36,2013/08/04T20:42:47,          0.636,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:37,2013/08/04T20:42:37,          4.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:39,2013/08/04T20:42:46,          2.857,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:39,2013/08/04T20:42:50,          0.455,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:40,2013/08/04T20:42:51,          0.545,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:40,2013/08/04T20:43:07,          8.741,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:40,2013/08/04T20:43:08,          7.500,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:42,2013/08/04T20:42:55,          0.538,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:43,2013/08/04T20:42:43,          2.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:45,2013/08/04T20:43:08,          5.348,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:46,2013/08/04T20:43:06,          7.400,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:52,2013/08/04T20:42:53,        768.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:56,2013/08/04T20:43:27,          6.387,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:42:59,2013/08/04T20:43:29,          7.333,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:00,2013/08/04T20:43:00,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:01,2013/08/04T20:43:01,         11.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:03,2013/08/04T20:43:33,          1.600,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:05,2013/08/04T20:43:06,          6.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:06,2013/08/04T20:43:16,          0.700,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:07,2013/08/04T20:43:07,          6.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:08,2013/08/04T20:43:08,          1.000,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:16,2013/08/04T20:43:33,          9.471,
                               10.5.9.2,                               10.5.7.2,2013/08/04T20:43:17,2013/08/04T20:43:46,          5.448,
