                               10.5.9.2,                               10.5.3.2,2013/08/04T19:21:22,2013/08/04T19:21:22,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:21:33,2013/08/04T19:21:33,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:21:38,2013/08/04T19:21:38,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:02,2013/08/04T19:22:02,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:19,2013/08/04T19:22:19,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:20,2013/08/04T19:22:20,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:20,2013/08/04T19:22:30,          0.400,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:31,2013/08/04T19:23:10,          0.026,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:32,2013/08/04T19:22:32,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:39,2013/08/04T19:22:39,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:39,2013/08/04T19:23:03,          0.083,
                               10.5.9.2,                               10.5.3.2,2013/08/04T19:22:46,2013/08/04T19:22:53,          0.286,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:26,2013/08/04T18:24:26,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:26,2013/08/04T18:24:27,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:27,2013/08/04T18:24:27,          7.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:27,2013/08/04T18:24:28,          6.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:29,2013/08/04T18:24:29,         11.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:30,2013/08/04T18:24:30,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:32,2013/08/04T18:24:32,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:33,2013/08/04T18:25:28,          0.073,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:34,2013/08/04T18:24:34,          8.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:35,2013/08/04T18:24:49,          5.786,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:35,2013/08/04T18:25:45,          0.057,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:36,2013/08/04T18:24:49,          5.846,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:37,2013/08/04T18:24:38,          8.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:38,2013/08/04T18:24:38,          6.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:39,2013/08/04T18:24:39,         11.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:47,2013/08/04T18:24:47,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:52,2013/08/04T18:24:52,          4.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:57,2013/08/04T18:25:11,          8.643,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:57,2013/08/04T18:25:12,          4.267,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:24:58,2013/08/04T18:25:38,          0.250,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:00,2013/08/04T18:26:08,          0.059,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:01,2013/08/04T18:25:01,          5.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:04,2013/08/04T18:25:04,         12.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:04,2013/08/04T18:25:14,          0.300,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:20,2013/08/04T18:25:41,          2.905,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:21,2013/08/04T18:25:21,          3.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:21,2013/08/04T18:25:36,          0.267,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:28,2013/08/04T18:25:28,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:31,2013/08/04T18:25:31,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:31,2013/08/04T18:25:32,          4.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:32,2013/08/04T18:25:32,          9.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:32,2013/08/04T18:26:23,          0.078,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:36,2013/08/04T18:25:36,          4.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:37,2013/08/04T18:25:37,          1.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:38,2013/08/04T18:25:38,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:42,2013/08/04T18:26:12,          0.400,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:42,2013/08/04T18:26:44,          0.726,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:43,2013/08/04T18:25:54,          0.545,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:43,2013/08/04T18:26:18,          0.200,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:43,2013/08/04T18:26:44,          0.148,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:43,2013/08/04T18:27:16,          0.194,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:44,2013/08/04T18:26:12,          0.357,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:48,2013/08/04T18:25:48,          2.000,
                               10.5.9.2,                               10.5.3.2,2013/08/04T18:25:49,2013/08/04T18:25:49,          1.000,
