                               10.5.9.2,                               10.5.8.2,2013/08/04T19:21:24,2013/08/04T19:21:24,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:21:40,2013/08/04T19:21:40,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:21:40,2013/08/04T19:21:42,          1.500,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:22:02,2013/08/04T19:22:08,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:22:15,2013/08/04T19:22:15,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:22:22,2013/08/04T19:22:23,          6.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:22:32,2013/08/04T19:23:59,          0.011,
                               10.5.9.2,                               10.5.8.2,2013/08/04T19:22:34,2013/08/04T19:22:56,          0.091,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:23,2013/08/04T18:24:23,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:25,2013/08/04T18:24:25,          3.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:26,2013/08/04T18:24:26,          9.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:26,2013/08/04T18:25:12,          0.043,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:27,2013/08/04T18:24:27,          2.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:28,2013/08/04T18:24:28,         10.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:32,2013/08/04T18:24:32,          5.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:35,2013/08/04T18:24:49,          7.536,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:35,2013/08/04T18:25:45,          0.114,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:36,2013/08/04T18:24:36,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:36,2013/08/04T18:24:49,          7.846,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:38,2013/08/04T18:24:38,          2.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:39,2013/08/04T18:24:39,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:41,2013/08/04T18:24:41,          1.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:44,2013/08/04T18:24:45,         10.000,
                               10.5.9.2,                               10.5.8.2,2013/08/04T18:24:47,2013/08/04T18:24:57,          0.300,
