                               10.5.5.2,                              10.5.15.2,2013/08/04T20:30:44,2013/08/04T20:31:57,          3.603,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         11.533,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:04,2013/08/04T20:31:48,          7.750,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:04,2013/08/04T20:31:49,          4.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:04,2013/08/04T20:31:55,          4.647,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:04,2013/08/04T20:33:07,          2.837,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:04,2013/08/04T20:33:41,          2.911,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:05,2013/08/04T20:31:08,         29.333,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:05,2013/08/04T20:32:54,          2.798,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:06,2013/08/04T20:31:50,          1.886,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:06,2013/08/04T20:32:28,          2.524,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:06,2013/08/04T20:33:08,          2.189,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          6.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:07,2013/08/04T20:31:09,         74.500,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:07,2013/08/04T20:31:58,          3.059,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:27,2013/08/04T20:31:58,          6.387,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:27,2013/08/04T20:32:35,          2.412,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:29,2013/08/04T20:31:29,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:29,2013/08/04T20:31:30,          5.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:30,2013/08/04T20:31:30,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:30,2013/08/04T20:31:40,          0.200,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:31,2013/08/04T20:33:16,          4.257,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:32,2013/08/04T20:31:47,          0.267,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:33,2013/08/04T20:31:33,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:35,2013/08/04T20:31:35,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:36,2013/08/04T20:31:46,          0.200,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:37,2013/08/04T20:33:19,          3.069,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:44,2013/08/04T20:31:54,          0.200,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          7.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:47,2013/08/04T20:31:51,          1.000,
                               10.5.5.2,                              10.5.15.2,2013/08/04T20:31:48,2013/08/04T20:31:48,          2.000,
