                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         14.900,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:04,2013/08/04T20:31:35,         10.065,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:04,2013/08/04T20:31:52,          3.042,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:04,2013/08/04T20:31:54,          3.600,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:04,2013/08/04T20:33:09,          2.040,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:05,2013/08/04T20:31:57,          4.288,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:05,2013/08/04T20:32:33,          2.420,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:05,2013/08/04T20:32:35,          3.144,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:06,2013/08/04T20:31:07,          6.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          4.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          7.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:09,2013/08/04T20:32:27,          2.885,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:27,2013/08/04T20:31:55,          7.214,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:28,2013/08/04T20:31:28,          5.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:28,2013/08/04T20:31:30,         11.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:28,2013/08/04T20:35:01,          1.479,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:30,2013/08/04T20:31:30,          2.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:32,2013/08/04T20:32:34,          3.032,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:33,2013/08/04T20:32:53,          4.400,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:34,2013/08/04T20:31:40,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:34,2013/08/04T20:31:44,          0.200,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:37,2013/08/04T20:33:01,          3.536,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:39,2013/08/04T20:32:44,          0.077,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:41,2013/08/04T20:31:41,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:51,2013/08/04T20:33:09,          4.859,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:54,2013/08/04T20:31:54,          5.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:31:54,2013/08/04T20:33:05,          5.169,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:25,2013/08/04T20:32:44,          6.053,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:25,2013/08/04T20:33:13,          8.563,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:25,2013/08/04T20:33:26,         10.754,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:25,2013/08/04T20:33:56,          7.429,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:25,2013/08/04T20:34:12,          5.449,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:25,2013/08/04T20:34:23,          3.924,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:26,2013/08/04T20:34:17,          5.874,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:27,2013/08/04T20:32:27,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:27,2013/08/04T20:33:36,         10.406,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:30,2013/08/04T20:32:33,          3.667,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:31,2013/08/04T20:33:54,          7.723,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:32,2013/08/04T20:32:32,          2.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:32,2013/08/04T20:32:42,          0.550,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:33,2013/08/04T20:32:33,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:33,2013/08/04T20:33:36,          0.286,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:39,2013/08/04T20:35:14,          1.877,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:51,2013/08/04T20:33:52,         11.803,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:53,2013/08/04T20:32:59,         18.500,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:57,2013/08/04T20:32:57,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:32:59,2013/08/04T20:32:59,          6.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:01,2013/08/04T20:33:21,          0.100,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:05,2013/08/04T20:33:05,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:08,2013/08/04T20:33:36,          0.143,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:09,2013/08/04T20:34:59,          2.964,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:09,2013/08/04T20:35:01,          3.661,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:10,2013/08/04T20:33:13,          1.333,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:15,2013/08/04T20:35:04,          2.670,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:17,2013/08/04T20:33:48,          0.226,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:18,2013/08/04T20:35:44,          1.514,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:19,2013/08/04T20:33:25,         27.833,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:19,2013/08/04T20:33:48,          0.379,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:24,2013/08/04T20:33:27,          1.333,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:25,2013/08/04T20:35:04,          3.303,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:31,2013/08/04T20:33:41,          0.300,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:32,2013/08/04T20:33:32,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:32,2013/08/04T20:33:45,         42.385,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:33,2013/08/04T20:33:43,          0.200,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:33,2013/08/04T20:35:42,          1.698,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:36,2013/08/04T20:33:36,          4.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:36,2013/08/04T20:35:19,          1.388,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:37,2013/08/04T20:33:59,          0.227,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:41,2013/08/04T20:34:02,          0.238,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:48,2013/08/04T20:33:48,          7.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:51,2013/08/04T20:34:13,          0.318,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:53,2013/08/04T20:33:54,          5.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:59,2013/08/04T20:33:59,          4.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:33:59,2013/08/04T20:35:34,          2.737,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:02,2013/08/04T20:34:02,         13.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:08,2013/08/04T20:34:30,          0.136,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:09,2013/08/04T20:35:20,          0.338,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:10,2013/08/04T20:34:31,          1.619,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:11,2013/08/04T20:34:12,          4.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:12,2013/08/04T20:34:19,          0.857,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:13,2013/08/04T20:34:13,          5.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:21,2013/08/04T20:35:44,          3.193,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:23,2013/08/04T20:34:24,          6.500,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:24,2013/08/04T20:34:24,          4.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:25,2013/08/04T20:34:25,          3.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:29,2013/08/04T20:34:29,         13.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:42,2013/08/04T20:35:15,          0.061,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:34:42,2013/08/04T20:35:16,          0.118,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:01,2013/08/04T20:35:01,          3.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:02,2013/08/04T20:35:32,          0.067,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:12,2013/08/04T20:35:14,          1.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:12,2013/08/04T20:35:19,         99.143,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:12,2013/08/04T20:35:40,          0.143,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:13,2013/08/04T20:35:13,          2.000,
                               10.5.5.2,                              10.5.18.2,2013/08/04T20:35:14,2013/08/04T20:35:16,          4.000,
