                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         13.200,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:04,2013/08/04T20:31:27,          2.739,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:04,2013/08/04T20:31:56,          2.962,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:04,2013/08/04T20:32:51,          2.271,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:05,2013/08/04T20:32:30,          1.906,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:05,2013/08/04T20:32:42,          2.361,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:05,2013/08/04T20:32:44,          1.889,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          7.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:06,2013/08/04T20:32:25,          2.152,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:06,2013/08/04T20:34:31,          1.249,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:27,2013/08/04T20:33:34,          3.150,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:28,2013/08/04T20:31:39,          0.273,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:28,2013/08/04T20:32:51,          4.735,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:28,2013/08/04T20:35:44,          0.379,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:29,2013/08/04T20:31:32,          0.667,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:30,2013/08/04T20:31:33,          0.667,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:32,2013/08/04T20:31:40,         71.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:32,2013/08/04T20:33:10,          4.582,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:38,2013/08/04T20:33:09,          4.264,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          5.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:40,2013/08/04T20:31:40,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:40,2013/08/04T20:33:45,          4.992,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:48,2013/08/04T20:34:10,          4.423,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:31:52,2013/08/04T20:31:52,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:25,2013/08/04T20:33:07,          8.786,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:25,2013/08/04T20:34:04,          6.273,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:26,2013/08/04T20:32:28,          2.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:27,2013/08/04T20:33:15,          9.729,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:29,2013/08/04T20:32:29,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:39,2013/08/04T20:32:39,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:39,2013/08/04T20:33:40,         12.049,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:40,2013/08/04T20:32:40,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:40,2013/08/04T20:32:42,          3.500,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:43,2013/08/04T20:32:46,          1.333,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:46,2013/08/04T20:32:46,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:46,2013/08/04T20:32:51,          2.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:51,2013/08/04T20:32:51,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:32:53,2013/08/04T20:33:03,          0.600,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:05,2013/08/04T20:33:13,          0.625,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:05,2013/08/04T20:33:15,          0.200,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:08,2013/08/04T20:33:13,          0.400,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:10,2013/08/04T20:33:15,          0.800,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:11,2013/08/04T20:34:12,          8.082,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:15,2013/08/04T20:34:42,          4.138,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:16,2013/08/04T20:33:16,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:16,2013/08/04T20:33:19,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:17,2013/08/04T20:35:20,          2.008,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:19,2013/08/04T20:33:19,          3.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:19,2013/08/04T20:33:21,          2.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:20,2013/08/04T20:35:42,          2.169,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:23,2013/08/04T20:33:34,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:23,2013/08/04T20:33:51,          0.107,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:25,2013/08/04T20:35:20,          2.426,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:26,2013/08/04T20:33:36,          0.400,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:33,2013/08/04T20:34:42,          4.739,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:36,2013/08/04T20:33:38,          0.500,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:38,2013/08/04T20:33:59,          0.143,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:41,2013/08/04T20:33:43,          2.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:41,2013/08/04T20:35:14,          2.935,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:41,2013/08/04T20:35:36,          2.835,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:42,2013/08/04T20:34:00,          0.389,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:43,2013/08/04T20:33:43,          1.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:47,2013/08/04T20:35:40,          2.708,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:51,2013/08/04T20:33:51,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:33:52,2013/08/04T20:34:12,          0.150,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:02,2013/08/04T20:34:02,         13.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:09,2013/08/04T20:34:09,          4.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:10,2013/08/04T20:34:13,         34.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:10,2013/08/04T20:35:43,          1.946,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:12,2013/08/04T20:34:12,          5.000,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:16,2013/08/04T20:34:28,          0.583,
                               10.5.5.2,                              10.5.19.2,2013/08/04T20:34:20,2013/08/04T20:35:19,          4.390,
