                               10.5.5.2,                               10.5.7.2,2013/08/04T20:30:19,2013/08/04T20:30:19,          1.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:04,2013/08/04T20:32:52,          2.491,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:05,2013/08/04T20:31:06,          5.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:05,2013/08/04T20:33:12,          2.299,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          2.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          1.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          1.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:08,2013/08/04T20:31:57,          4.612,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:27,2013/08/04T20:32:41,          3.324,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:28,2013/08/04T20:31:29,          5.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:28,2013/08/04T20:31:30,         21.500,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:28,2013/08/04T20:31:35,          6.429,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:28,2013/08/04T20:33:35,          1.252,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:28,2013/08/04T20:33:56,          3.155,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:29,2013/08/04T20:31:58,          9.379,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:30,2013/08/04T20:31:40,          0.200,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:31,2013/08/04T20:33:39,          2.977,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:35,2013/08/04T20:31:43,          2.500,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:36,2013/08/04T20:31:52,          0.188,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:43,2013/08/04T20:31:58,          3.800,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:48,2013/08/04T20:32:54,          5.424,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:52,2013/08/04T20:31:52,          3.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:31:52,2013/08/04T20:32:58,          3.652,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:32:25,2013/08/04T20:32:27,          1.000,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:32:25,2013/08/04T20:33:40,          9.027,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:32:25,2013/08/04T20:33:42,          7.117,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:32:25,2013/08/04T20:34:18,          5.372,
                               10.5.5.2,                               10.5.7.2,2013/08/04T20:32:26,2013/08/04T20:33:44,          8.141,
