                               10.5.5.2,                              10.5.14.2,2013/08/04T20:30:44,2013/08/04T20:30:44,          1.000,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:31:04,          1.000,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:31:05,          9.000,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         16.100,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:31:44,          2.425,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:31:58,          4.639,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:04,2013/08/04T20:32:45,          3.069,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          5.000,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:05,2013/08/04T20:31:58,          3.887,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:06,2013/08/04T20:31:58,          4.115,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:06,2013/08/04T20:33:27,          2.589,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:06,2013/08/04T20:35:20,          1.823,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:07,2013/08/04T20:31:08,          2.000,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:09,2013/08/04T20:31:09,          1.000,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:28,2013/08/04T20:31:34,          1.333,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:28,2013/08/04T20:31:39,          0.818,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:28,2013/08/04T20:31:44,         43.500,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:30,2013/08/04T20:31:39,          0.667,
                               10.5.5.2,                              10.5.14.2,2013/08/04T20:31:31,2013/08/04T20:31:31,          1.000,
