                               10.5.5.2,                               10.5.2.2,2013/08/04T20:30:44,2013/08/04T20:31:57,          2.671,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:04,2013/08/04T20:31:07,          4.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:04,2013/08/04T20:31:53,          7.694,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:04,2013/08/04T20:31:58,          4.241,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:04,2013/08/04T20:32:29,          0.824,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:06,2013/08/04T20:31:06,          5.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:09,2013/08/04T20:31:09,          7.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:29,2013/08/04T20:31:29,         12.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:30,2013/08/04T20:31:43,          0.231,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:31,2013/08/04T20:31:41,          0.500,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:34,2013/08/04T20:31:34,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:37,2013/08/04T20:32:59,          4.476,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:41,2013/08/04T20:31:41,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:45,2013/08/04T20:31:45,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          4.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:53,2013/08/04T20:31:53,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:53,2013/08/04T20:34:42,          1.728,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:31:55,2013/08/04T20:31:55,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:25,2013/08/04T20:34:11,          5.519,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:26,2013/08/04T20:32:26,          6.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:26,2013/08/04T20:33:01,          8.657,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:28,2013/08/04T20:33:34,          9.833,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:29,2013/08/04T20:32:33,          0.500,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:31,2013/08/04T20:35:04,          3.627,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:32,2013/08/04T20:32:35,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:32,2013/08/04T20:34:41,          3.147,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:40,2013/08/04T20:32:46,          0.667,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:41,2013/08/04T20:32:51,          0.600,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:42,2013/08/04T20:32:46,          1.250,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:45,2013/08/04T20:33:00,          0.200,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:46,2013/08/04T20:32:46,          7.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:46,2013/08/04T20:33:00,          0.143,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:50,2013/08/04T20:33:54,         11.281,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:53,2013/08/04T20:34:42,          4.229,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:58,2013/08/04T20:33:16,          0.389,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:58,2013/08/04T20:33:44,         14.391,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:32:59,2013/08/04T20:33:15,          0.438,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:04,2013/08/04T20:33:04,          8.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:06,2013/08/04T20:33:33,          0.185,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:07,2013/08/04T20:33:08,          6.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:07,2013/08/04T20:33:34,          0.148,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:08,2013/08/04T20:33:08,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:08,2013/08/04T20:35:20,          2.705,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:10,2013/08/04T20:33:13,          0.333,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:21,2013/08/04T20:33:38,          0.235,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:23,2013/08/04T20:33:50,          0.222,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:25,2013/08/04T20:33:36,          0.455,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:30,2013/08/04T20:33:33,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:31,2013/08/04T20:33:32,          7.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:32,2013/08/04T20:34:09,          0.135,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:32,2013/08/04T20:34:42,          4.971,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:33,2013/08/04T20:33:33,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:33,2013/08/04T20:34:10,          0.162,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:34,2013/08/04T20:34:03,         18.724,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:38,2013/08/04T20:33:38,          5.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:42,2013/08/04T20:35:44,          3.246,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:43,2013/08/04T20:33:43,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:44,2013/08/04T20:33:44,          2.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:44,2013/08/04T20:35:13,          3.618,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:48,2013/08/04T20:33:54,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:48,2013/08/04T20:35:19,          2.824,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:50,2013/08/04T20:34:11,          0.238,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:52,2013/08/04T20:35:37,          2.514,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:55,2013/08/04T20:33:55,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:59,2013/08/04T20:33:59,          1.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:33:59,2013/08/04T20:34:16,          0.176,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:00,2013/08/04T20:35:41,          3.396,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:01,2013/08/04T20:35:44,          3.058,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:02,2013/08/04T20:34:17,          0.200,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:02,2013/08/04T20:34:19,          0.294,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:02,2013/08/04T20:34:20,          0.611,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:09,2013/08/04T20:34:19,          0.200,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:11,2013/08/04T20:34:11,          8.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:15,2013/08/04T20:34:20,          0.400,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:16,2013/08/04T20:34:16,          3.000,
                               10.5.5.2,                               10.5.2.2,2013/08/04T20:34:19,2013/08/04T20:34:19,          6.000,
