                               10.5.5.2,                              10.5.10.2,2013/08/04T20:30:19,2013/08/04T20:30:19,         11.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         13.933,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:04,2013/08/04T20:31:47,          4.930,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:04,2013/08/04T20:31:54,          2.540,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:05,2013/08/04T20:31:06,         26.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:05,2013/08/04T20:31:09,          4.500,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:05,2013/08/04T20:31:56,          6.608,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:05,2013/08/04T20:33:39,          2.325,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:06,2013/08/04T20:31:08,          3.250,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:06,2013/08/04T20:32:59,          2.903,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          4.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:08,2013/08/04T20:32:34,          3.221,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:09,2013/08/04T20:31:09,          5.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:28,2013/08/04T20:33:06,          4.867,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:30,2013/08/04T20:31:36,          0.833,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:32,2013/08/04T20:31:34,          2.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:32,2013/08/04T20:31:48,          0.500,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:33,2013/08/04T20:31:33,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:34,2013/08/04T20:31:34,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:36,2013/08/04T20:31:36,          5.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          5.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:39,2013/08/04T20:31:44,          0.800,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:41,2013/08/04T20:31:41,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:43,2013/08/04T20:31:43,          2.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:49,2013/08/04T20:32:51,          0.194,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:51,2013/08/04T20:31:51,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:31:58,2013/08/04T20:31:58,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:25,2013/08/04T20:33:17,          9.827,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:25,2013/08/04T20:33:40,          8.600,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:26,2013/08/04T20:33:04,         12.711,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:27,2013/08/04T20:34:42,          3.467,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:28,2013/08/04T20:32:45,          0.118,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:32,2013/08/04T20:32:32,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:32,2013/08/04T20:32:40,          0.375,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:32,2013/08/04T20:32:42,          0.400,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:39,2013/08/04T20:32:46,          0.571,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:39,2013/08/04T20:35:14,          3.910,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:40,2013/08/04T20:32:40,          2.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:41,2013/08/04T20:32:51,          0.500,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:48,2013/08/04T20:33:00,          0.250,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:54,2013/08/04T20:33:04,          0.500,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:32:59,2013/08/04T20:33:03,          1.000,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:33:00,2013/08/04T20:34:03,          0.365,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:33:07,2013/08/04T20:33:14,         67.857,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:33:08,2013/08/04T20:33:37,          0.379,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:33:09,2013/08/04T20:35:44,          1.677,
                               10.5.5.2,                              10.5.10.2,2013/08/04T20:33:10,2013/08/04T20:33:37,          0.111,
