                               10.5.5.2,                               10.5.9.2,2013/08/04T20:30:36,2013/08/04T20:30:44,          0.500,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         14.600,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:31:34,          7.567,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:31:37,          5.576,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:31:58,          4.815,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:32:42,          1.694,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:04,2013/08/04T20:34:03,          2.453,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:05,2013/08/04T20:31:06,          5.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:05,2013/08/04T20:31:56,          3.608,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:06,2013/08/04T20:32:41,          2.463,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:07,2013/08/04T20:33:38,          2.099,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          1.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:27,2013/08/04T20:32:28,          4.246,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:28,2013/08/04T20:32:44,          4.461,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:28,2013/08/04T20:33:26,          4.534,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:28,2013/08/04T20:34:00,          0.737,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:29,2013/08/04T20:31:29,          3.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:29,2013/08/04T20:34:24,          2.366,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:30,2013/08/04T20:32:28,          2.621,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:31,2013/08/04T20:31:31,          1.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:32,2013/08/04T20:31:45,          0.154,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:34,2013/08/04T20:31:34,          1.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:37,2013/08/04T20:31:37,          1.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:39,2013/08/04T20:33:41,          3.574,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:51,2013/08/04T20:33:36,          3.876,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:54,2013/08/04T20:31:54,          1.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:56,2013/08/04T20:31:56,          1.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:31:58,2013/08/04T20:31:58,          2.000,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:25,2013/08/04T20:33:26,          7.148,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:25,2013/08/04T20:33:30,          7.462,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:25,2013/08/04T20:34:02,          5.732,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:27,2013/08/04T20:33:24,          7.526,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:29,2013/08/04T20:32:33,         40.250,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:30,2013/08/04T20:33:47,          6.818,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:32,2013/08/04T20:32:42,          0.400,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:32,2013/08/04T20:33:56,          8.857,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:40,2013/08/04T20:32:46,          0.500,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:40,2013/08/04T20:32:54,         44.929,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:40,2013/08/04T20:35:02,          3.669,
                               10.5.5.2,                               10.5.9.2,2013/08/04T20:32:41,2013/08/04T20:33:37,         12.179,
