                               10.5.5.2,                              10.5.17.2,2013/08/04T20:30:19,2013/08/04T20:30:19,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:04,2013/08/04T20:31:08,         19.250,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:04,2013/08/04T20:31:09,         44.500,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:04,2013/08/04T20:31:49,          5.889,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:05,2013/08/04T20:31:46,          4.146,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          2.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:08,2013/08/04T20:31:47,          1.718,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:09,2013/08/04T20:31:09,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:27,2013/08/04T20:31:57,          6.533,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:28,2013/08/04T20:31:58,          6.533,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:28,2013/08/04T20:33:23,          3.713,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:28,2013/08/04T20:33:24,          1.233,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:28,2013/08/04T20:33:37,          3.550,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:29,2013/08/04T20:31:29,          9.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:31,2013/08/04T20:31:37,          1.167,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:33,2013/08/04T20:31:47,          0.214,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:33,2013/08/04T20:34:21,          1.077,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:37,2013/08/04T20:31:37,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:40,2013/08/04T20:31:40,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:40,2013/08/04T20:32:43,          0.111,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:45,2013/08/04T20:31:45,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:47,2013/08/04T20:31:47,          5.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:47,2013/08/04T20:34:12,          3.497,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:48,2013/08/04T20:31:58,          0.200,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:55,2013/08/04T20:34:04,          4.907,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:31:58,2013/08/04T20:31:58,          1.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:25,2013/08/04T20:33:04,         10.282,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:25,2013/08/04T20:33:16,          8.137,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:25,2013/08/04T20:33:25,         11.250,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:25,2013/08/04T20:34:00,          5.389,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:25,2013/08/04T20:34:31,          4.167,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:29,2013/08/04T20:32:52,         21.652,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:31,2013/08/04T20:32:41,          0.300,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:32,2013/08/04T20:32:32,          2.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:32,2013/08/04T20:32:40,          0.500,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:39,2013/08/04T20:32:41,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:39,2013/08/04T20:32:44,         30.400,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:39,2013/08/04T20:33:09,          0.467,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:39,2013/08/04T20:34:10,          5.945,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:42,2013/08/04T20:33:37,         13.491,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:44,2013/08/04T20:32:44,          3.000,
                               10.5.5.2,                              10.5.17.2,2013/08/04T20:32:48,2013/08/04T20:34:25,          4.856,
