                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:31:37,          5.485,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:31:51,          5.372,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:32:34,          3.100,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:32:39,          2.137,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:32:43,         10.323,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:32:47,          3.291,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:33:25,          1.177,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:04,2013/08/04T20:34:19,          1.764,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:05,2013/08/04T20:33:42,          2.726,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:06,2013/08/04T20:33:56,          3.471,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          2.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:27,2013/08/04T20:31:56,          7.621,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:27,2013/08/04T20:32:39,          3.139,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:27,2013/08/04T20:33:03,          4.323,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:28,2013/08/04T20:32:33,          2.908,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:28,2013/08/04T20:33:19,          3.514,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:29,2013/08/04T20:31:29,          3.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:32,2013/08/04T20:31:35,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:34,2013/08/04T20:34:10,          2.558,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:38,2013/08/04T20:31:39,         12.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:40,2013/08/04T20:31:40,          1.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:46,2013/08/04T20:31:47,          4.000,
                               10.5.5.2,                               10.5.4.2,2013/08/04T20:31:47,2013/08/04T20:31:57,          0.200,
