                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:31:08,         26.500,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:31:41,          4.027,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:31:58,          4.870,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:32:52,          2.148,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:33:17,          2.714,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:35:18,          2.047,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:35:42,          0.453,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:04,2013/08/04T20:35:44,          0.611,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          6.000,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:05,2013/08/04T20:31:39,          4.176,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:05,2013/08/04T20:31:57,          4.288,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:05,2013/08/04T20:33:23,          1.623,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:05,2013/08/04T20:33:41,          2.545,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:05,2013/08/04T20:34:12,          2.428,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:06,2013/08/04T20:32:45,          1.566,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:07,2013/08/04T20:31:07,          1.000,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          1.000,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:08,2013/08/04T20:31:57,          2.551,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:27,2013/08/04T20:31:57,          4.833,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:28,2013/08/04T20:31:28,          4.000,
                               10.5.5.2,                              10.5.12.2,2013/08/04T20:31:28,2013/08/04T20:31:58,          8.500,
