                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:04,2013/08/04T20:31:07,          3.000,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:04,2013/08/04T20:31:31,          6.889,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:04,2013/08/04T20:31:52,          1.854,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:04,2013/08/04T20:31:58,          5.870,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:04,2013/08/04T20:33:10,          2.960,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:04,2013/08/04T20:33:19,          2.341,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:05,2013/08/04T20:31:05,          6.000,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:05,2013/08/04T20:32:29,          1.726,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:07,2013/08/04T20:31:31,          0.917,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:07,2013/08/04T20:31:56,          4.490,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:08,2013/08/04T20:31:08,          2.000,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:08,2013/08/04T20:33:41,          2.614,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:27,2013/08/04T20:31:35,         10.625,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:27,2013/08/04T20:31:56,         10.897,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:27,2013/08/04T20:32:50,          5.024,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:27,2013/08/04T20:33:19,          4.143,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:27,2013/08/04T20:33:56,          4.013,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:28,2013/08/04T20:31:39,          0.636,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:28,2013/08/04T20:32:48,          3.588,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:29,2013/08/04T20:31:34,          0.400,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:29,2013/08/04T20:31:38,          0.222,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:32,2013/08/04T20:31:41,         46.444,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:32,2013/08/04T20:33:01,          4.798,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:33,2013/08/04T20:31:43,          0.500,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:34,2013/08/04T20:31:44,          0.200,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:35,2013/08/04T20:32:35,          4.633,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:31:44,2013/08/04T20:31:44,          1.000,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:32:25,2013/08/04T20:32:26,          5.000,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:32:25,2013/08/04T20:32:47,          0.273,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:32:25,2013/08/04T20:33:52,          7.322,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:32:25,2013/08/04T20:34:01,          5.021,
                               10.5.5.2,                              10.5.13.2,2013/08/04T20:32:26,2013/08/04T20:34:23,          5.615,
