                               10.5.5.2,                               10.5.8.2,2013/08/04T20:30:19,2013/08/04T20:31:40,          1.383,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:04,2013/08/04T20:31:06,         26.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:04,2013/08/04T20:31:32,          4.536,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:04,2013/08/04T20:31:36,          3.594,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:04,2013/08/04T20:31:37,          6.879,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:04,2013/08/04T20:31:55,          3.882,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:04,2013/08/04T20:33:07,          2.886,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:05,2013/08/04T20:31:32,          0.630,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:05,2013/08/04T20:32:33,          2.102,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:05,2013/08/04T20:33:32,          3.279,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:05,2013/08/04T20:33:41,          1.846,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:06,2013/08/04T20:31:06,         16.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:07,2013/08/04T20:31:07,         10.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:27,2013/08/04T20:32:35,          3.544,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:28,2013/08/04T20:31:33,          0.400,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:28,2013/08/04T20:31:37,          0.556,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:28,2013/08/04T20:31:39,          0.182,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:28,2013/08/04T20:33:32,          2.500,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:28,2013/08/04T20:33:33,          3.208,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:29,2013/08/04T20:31:31,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:29,2013/08/04T20:31:40,          0.273,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:30,2013/08/04T20:31:45,          0.400,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:30,2013/08/04T20:33:35,          3.632,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:31,2013/08/04T20:31:31,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:33,2013/08/04T20:31:39,          4.333,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:34,2013/08/04T20:32:43,          2.971,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:38,2013/08/04T20:31:44,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:39,2013/08/04T20:31:39,          5.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:44,2013/08/04T20:31:44,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:52,2013/08/04T20:33:25,          4.516,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:56,2013/08/04T20:31:56,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:31:58,2013/08/04T20:31:58,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:25,2013/08/04T20:32:29,          0.500,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:25,2013/08/04T20:32:42,          0.412,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:25,2013/08/04T20:33:32,          8.761,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:25,2013/08/04T20:33:38,          8.603,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:27,2013/08/04T20:32:27,          4.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:27,2013/08/04T20:34:04,          6.330,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:27,2013/08/04T20:34:13,          5.340,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:28,2013/08/04T20:34:09,          5.634,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:29,2013/08/04T20:32:29,          5.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:29,2013/08/04T20:33:06,          0.270,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:32,2013/08/04T20:32:32,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:32,2013/08/04T20:32:35,          1.667,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:32,2013/08/04T20:32:49,         44.353,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:33,2013/08/04T20:32:43,          0.300,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:34,2013/08/04T20:32:39,          0.800,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:39,2013/08/04T20:32:43,          2.500,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:41,2013/08/04T20:32:51,          0.300,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:43,2013/08/04T20:32:43,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:46,2013/08/04T20:33:48,          0.274,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:51,2013/08/04T20:32:51,          1.000,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:32:58,2013/08/04T20:34:59,          3.364,
                               10.5.5.2,                               10.5.8.2,2013/08/04T20:33:01,2013/08/04T20:33:04,          0.667,
